x,y,detectorID,nPrimary,roiCounts,normalizedCounts
-33.6735,-23.4694,4,400000,39,9.75e-05
-33.6735,-23.4694,5,400000,5,1.25e-05
-33.6735,-21.4286,0,400000,10,2.5e-05
-33.6735,-21.4286,1,400000,7,1.75e-05
-33.6735,-21.4286,2,400000,8,2e-05
-33.6735,-21.4286,3,400000,31,7.75e-05
-33.6735,-21.4286,4,400000,39,9.75e-05
-33.6735,-21.4286,5,400000,9,2.25e-05
-33.6735,-19.3878,0,400000,18,4.5e-05
-33.6735,-19.3878,1,400000,1,2.5e-06
-33.6735,-19.3878,2,400000,7,1.75e-05
-33.6735,-19.3878,3,400000,44,0.00011
-33.6735,-19.3878,4,400000,48,0.00012
-33.6735,-19.3878,5,400000,2,5e-06
-33.6735,-17.3469,0,400000,10,2.5e-05
-33.6735,-17.3469,1,400000,9,2.25e-05
-33.6735,-17.3469,2,400000,7,1.75e-05
-33.6735,-17.3469,3,400000,22,5.5e-05
-33.6735,-17.3469,4,400000,21,5.25e-05
-33.6735,-17.3469,5,400000,12,3e-05
-33.6735,-15.3061,0,400000,12,3e-05
-33.6735,-15.3061,1,400000,4,1e-05
-33.6735,-15.3061,2,400000,8,2e-05
-33.6735,-15.3061,3,400000,48,0.00012
-33.6735,-15.3061,4,400000,40,0.0001
-33.6735,-15.3061,5,400000,8,2e-05
-33.6735,-13.2653,0,400000,7,1.75e-05
-33.6735,-13.2653,1,400000,8,2e-05
-33.6735,-13.2653,2,400000,11,2.75e-05
-33.6735,-13.2653,3,400000,26,6.5e-05
-33.6735,-13.2653,4,400000,41,0.0001025
-33.6735,-13.2653,5,400000,7,1.75e-05
-33.6735,-11.2245,0,400000,13,3.25e-05
-33.6735,-11.2245,1,400000,7,1.75e-05
-33.6735,-11.2245,2,400000,3,7.5e-06
-33.6735,-11.2245,3,400000,60,0.00015
-33.6735,-11.2245,4,400000,50,0.000125
-33.6735,-11.2245,5,400000,11,2.75e-05
-33.6735,-9.18367,0,400000,10,2.5e-05
-33.6735,-9.18367,1,400000,6,1.5e-05
-33.6735,-9.18367,2,400000,10,2.5e-05
-33.6735,-9.18367,3,400000,70,0.000175
-33.6735,-9.18367,4,400000,53,0.0001325
-33.6735,-9.18367,5,400000,9,2.25e-05
-33.6735,-7.14286,0,400000,11,2.75e-05
-33.6735,-7.14286,1,400000,3,7.5e-06
-33.6735,-7.14286,2,400000,8,2e-05
-33.6735,-7.14286,3,400000,70,0.000175
-33.6735,-7.14286,4,400000,25,6.25e-05
-33.6735,-7.14286,5,400000,8,2e-05
-33.6735,-5.10204,0,400000,6,1.5e-05
-33.6735,-5.10204,1,400000,17,4.25e-05
-33.6735,-5.10204,2,400000,7,1.75e-05
-33.6735,-5.10204,3,400000,86,0.000215
-33.6735,-5.10204,4,400000,32,8e-05
-33.6735,-5.10204,5,400000,9,2.25e-05
-33.6735,-3.06122,0,400000,8,2e-05
-33.6735,-3.06122,1,400000,3,7.5e-06
-33.6735,-3.06122,2,400000,9,2.25e-05
-33.6735,-3.06122,3,400000,110,0.000275
-33.6735,-3.06122,4,400000,19,4.75e-05
-33.6735,-3.06122,5,400000,15,3.75e-05
-33.6735,-1.02041,0,400000,13,3.25e-05
-33.6735,-1.02041,1,400000,3,7.5e-06
-33.6735,-1.02041,2,400000,19,4.75e-05
-33.6735,-1.02041,3,400000,111,0.0002775
-33.6735,-1.02041,4,400000,18,4.5e-05
-33.6735,-1.02041,5,400000,4,1e-05
-33.6735,1.02041,0,400000,6,1.5e-05
-33.6735,1.02041,1,400000,14,3.5e-05
-33.6735,1.02041,2,400000,19,4.75e-05
-33.6735,1.02041,3,400000,106,0.000265
-33.6735,1.02041,4,400000,22,5.5e-05
-33.6735,1.02041,5,400000,14,3.5e-05
-33.6735,3.06122,0,400000,15,3.75e-05
-33.6735,3.06122,1,400000,10,2.5e-05
-33.6735,3.06122,2,400000,30,7.5e-05
-33.6735,3.06122,3,400000,103,0.0002575
-33.6735,3.06122,4,400000,8,2e-05
-33.6735,3.06122,5,400000,15,3.75e-05
-33.6735,5.10204,0,400000,7,1.75e-05
-33.6735,5.10204,1,400000,13,3.25e-05
-33.6735,5.10204,2,400000,21,5.25e-05
-33.6735,5.10204,3,400000,68,0.00017
-33.6735,5.10204,4,400000,9,2.25e-05
