x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-45.9184,1.02041,0,100000,16,0.00016,69,0.00069
-45.9184,1.02041,1,100000,32,0.00032,64,0.00064
-45.9184,1.02041,2,100000,22,0.00022,69,0.00069
-45.9184,1.02041,3,100000,36,0.00036,86,0.00086
-45.9184,1.02041,4,100000,31,0.00031,67,0.00067
-45.9184,1.02041,5,100000,28,0.00028,74,0.00074
-45.9184,3.06122,0,100000,36,0.00036,87,0.00087
-45.9184,3.06122,1,100000,15,0.00015,72,0.00072
-45.9184,3.06122,2,100000,26,0.00026,72,0.00072
-45.9184,3.06122,3,100000,38,0.00038,73,0.00073
-45.9184,3.06122,4,100000,29,0.00029,72,0.00072
-45.9184,3.06122,5,100000,17,0.00017,78,0.00078
-45.9184,5.10204,0,100000,27,0.00027,76,0.00076
-45.9184,5.10204,1,100000,15,0.00015,48,0.00048
-45.9184,5.10204,2,100000,45,0.00045,70,0.0007
-45.9184,5.10204,3,100000,28,0.00028,69,0.00069
-45.9184,5.10204,4,100000,30,0.0003,74,0.00074
-45.9184,5.10204,5,100000,23,0.00023,72,0.00072
-45.9184,7.14286,0,100000,37,0.00037,94,0.00094
-45.9184,7.14286,1,100000,45,0.00045,93,0.00093
-45.9184,7.14286,2,100000,28,0.00028,82,0.00082
-45.9184,7.14286,3,100000,53,0.00053,83,0.00083
-45.9184,7.14286,4,100000,31,0.00031,75,0.00075
-45.9184,7.14286,5,100000,41,0.00041,75,0.00075
-45.9184,9.18367,0,100000,19,0.00019,83,0.00083
-45.9184,9.18367,1,100000,44,0.00044,90,0.0009
-45.9184,9.18367,2,100000,19,0.00019,77,0.00077
-45.9184,9.18367,3,100000,23,0.00023,64,0.00064
-45.9184,9.18367,4,100000,18,0.00018,73,0.00073
-45.9184,9.18367,5,100000,38,0.00038,78,0.00078
-45.9184,11.2245,0,100000,23,0.00023,72,0.00072
-45.9184,11.2245,1,100000,37,0.00037,74,0.00074
-45.9184,11.2245,2,100000,41,0.00041,75,0.00075
-45.9184,11.2245,3,100000,35,0.00035,71,0.00071
-45.9184,11.2245,4,100000,32,0.00032,85,0.00085
-45.9184,11.2245,5,100000,25,0.00025,71,0.00071
-45.9184,13.2653,0,100000,27,0.00027,63,0.00063
-45.9184,13.2653,1,100000,17,0.00017,67,0.00067
-45.9184,13.2653,2,100000,9,9e-05,63,0.00063
-45.9184,13.2653,3,100000,13,0.00013,51,0.00051
-45.9184,13.2653,4,100000,10,0.0001,63,0.00063
-45.9184,13.2653,5,100000,19,0.00019,49,0.00049
-45.9184,15.3061,0,100000,26,0.00026,78,0.00078
-45.9184,15.3061,1,100000,48,0.00048,73,0.00073
-45.9184,15.3061,2,100000,34,0.00034,86,0.00086
-45.9184,15.3061,3,100000,33,0.00033,59,0.00059
-45.9184,15.3061,4,100000,62,0.00062,92,0.00092
-45.9184,15.3061,5,100000,22,0.00022,63,0.00063
-45.9184,17.3469,0,100000,23,0.00023,65,0.00065
-45.9184,17.3469,1,100000,38,0.00038,62,0.00062
-45.9184,17.3469,2,100000,22,0.00022,70,0.0007
