x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-37.6,12.8,400000,44915,0.112287,151966,0.379915
-37.6,13,400000,44938,0.112345,152460,0.38115
-37.6,13.2,400000,44760,0.1119,151887,0.379717
-37.6,13.4,400000,45075,0.112687,152909,0.382273
-37.6,13.6,400000,44717,0.111793,152172,0.38043
-37.6,13.8,400000,44716,0.11179,152020,0.38005
-37.6,14,400000,44954,0.112385,152407,0.381018
-37.6,14.2,400000,44372,0.11093,151465,0.378663
-37.6,14.4,400000,44974,0.112435,151544,0.37886
-37.6,14.6,400000,44726,0.111815,152391,0.380978
-37.6,14.8,400000,44673,0.111683,152028,0.38007
-37.6,15,400000,44332,0.11083,152167,0.380418
-37.6,15.2,400000,44792,0.11198,151864,0.37966
-37.6,15.4,400000,45035,0.112587,152307,0.380767
-37.6,15.6,400000,44771,0.111927,152455,0.381138
-37.6,15.8,400000,45053,0.112632,152347,0.380868
-37.6,16,400000,45412,0.11353,152770,0.381925
-37.6,16.2,400000,45007,0.112518,152164,0.38041
-37.6,16.4,400000,45193,0.112982,152243,0.380607
-37.6,16.6,400000,45042,0.112605,152799,0.381997
-37.6,16.8,400000,44767,0.111918,152190,0.380475
-37.6,17,400000,44685,0.111713,151597,0.378993
-37.6,17.2,400000,45068,0.11267,152430,0.381075
-37.6,17.4,400000,44872,0.11218,151937,0.379843
-37.6,17.6,400000,44953,0.112382,151909,0.379773
-37.6,17.8,400000,44540,0.11135,152364,0.38091
-37.6,18,400000,45153,0.112882,152615,0.381537
-37.6,18.2,400000,45404,0.11351,152018,0.380045
-37.6,18.4,400000,44775,0.111937,151884,0.37971
-37.6,18.6,400000,45080,0.1127,152361,0.380902
-37.6,18.8,400000,44898,0.112245,151917,0.379792
-37.6,19,400000,44671,0.111677,151489,0.378723
-37.6,19.2,400000,44216,0.11054,151512,0.37878
-37.6,19.4,400000,44761,0.111903,151767,0.379418
-37.6,19.6,400000,44904,0.11226,151670,0.379175
-37.6,19.8,400000,44705,0.111763,151780,0.37945
-37.6,20,400000,45058,0.112645,152200,0.3805
-37.6,20.2,400000,45368,0.11342,152100,0.38025
-37.6,20.4,400000,44536,0.11134,151912,0.37978
-37.6,20.6,400000,45022,0.112555,152323,0.380808
-37.6,20.8,400000,44471,0.111177,151828,0.37957
-37.6,21,400000,44636,0.11159,152435,0.381088
-37.6,21.2,400000,45406,0.113515,152036,0.38009
-37.6,21.4,400000,44935,0.112338,152213,0.380532
-37.6,21.6,400000,44999,0.112498,152277,0.380692
-37.6,21.8,400000,44526,0.111315,151219,0.378047
-37.6,22,400000,44979,0.112448,152290,0.380725
-37.6,22.2,400000,44581,0.111452,151577,0.378943
-37.6,22.4,400000,44848,0.11212,152352,0.38088
-37.6,22.6,400000,45252,0.11313,152769,0.381922
-37.6,22.8,400000,44929,0.112323,151815,0.379538
-37.6,23,400000,44702,0.111755,152220,0.38055
-37.6,23.2,400000,44743,0.111857,151957,0.379893
-37.6,23.4,400000,44730,0.111825,152282,0.380705
-37.6,23.6,400000,44685,0.111713,152373,0.380933
-37.6,23.8,400000,44453,0.111132,151699,0.379248
-37.6,24,400000,44877,0.112193,152287,0.380717
