x,y,det_0,det_1,det_2,det_3,det_4,det_5,RD_1_4,RD_2_5,RD_0_3
-50.0,23.4694,7.5e-06,0.0,5e-05,4.25e-05,2e-05,1.25e-05,-1.9999999998,1.1999999999616,-1.399999999944
-50.0,25.5102,1e-05,5e-06,4e-05,7.5e-05,2.5e-06,7.5e-06,0.6666666664888888,1.3684210525739613,-1.5294117646698961
-50.0,27.551,7.5e-06,2.25e-05,3.25e-05,6.5e-05,5e-06,1.25e-05,1.2727272726347107,0.8888888888493827,-1.5862068965079665
-50.0,29.5918,1e-05,1.5e-05,3e-05,3.5e-05,5e-06,7.5e-06,0.9999999998999998,1.199999999936,-1.1111111110617284
-50.0,31.6327,0.0,2.5e-06,4.25e-05,7e-05,2e-05,5e-06,-1.555555555417284,1.5789473683545707,-1.999999999942857
-50.0,33.6735,1.5e-05,2.5e-06,2.5e-05,3e-05,7.5e-06,2.5e-06,-0.9999999997999998,1.636363636244628,-0.666666666637037
-50.0,35.7143,1.75e-05,1e-05,5.5e-05,3.5e-05,1.25e-05,7.5e-06,-0.2222222222024691,1.51999999995136,-0.6666666666412698
-50.0,37.7551,7.5e-06,1.75e-05,2e-05,3.25e-05,0.0,1.25e-05,1.9999999997714284,0.4615384615100592,-1.2499999999375
-50.0,39.7959,5e-06,1.25e-05,5e-05,3.25e-05,1.25e-05,1.25e-05,0.0,1.1999999999616,-1.4666666665884445
-50.0,41.8367,2.5e-06,1.5e-05,2.5e-05,4.75e-05,1e-05,1e-05,0.39999999996799995,0.8571428570938775,-1.799999999928
-50.0,43.8776,2.25e-05,1e-05,2e-05,5.25e-05,5e-06,1e-05,0.6666666665777777,0.6666666666222222,-0.7999999999786666
-50.0,45.9184,7.5e-06,1.5e-05,4e-05,2.25e-05,0.0,0.0,1.9999999997333333,1.9999999999,-0.9999999999333334
-50.0,47.9592,2.5e-06,2.5e-06,4e-05,3.5e-05,0.0,0.0,1.9999999984,1.9999999999,-1.733333333240889
-50.0,50.0,5e-06,2.5e-06,1.75e-05,1.75e-05,0.0,0.0,1.9999999984,1.9999999997714284,-1.1111111110123457
-47.9592,-50.0,5e-06,1e-05,2.5e-06,2.25e-05,2e-05,5e-06,-0.6666666666222222,-0.6666666664888888,-1.2727272726347107
-47.9592,-47.9592,7.5e-06,0.0,7.5e-06,5e-05,4.25e-05,2e-05,-1.9999999999058824,-0.9090909090247935,-1.4782608695137998
-47.9592,-45.9184,0.0,5e-06,0.0,4.75e-05,2.75e-05,1.5e-05,-1.3846153845301774,-1.9999999997333333,-1.9999999999157894
