x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-35,-32,0,100000,41,0.00041,73,0.00073
-35,-32,1,100000,36,0.00036,90,0.0009
-35,-32,2,100000,33,0.00033,75,0.00075
-35,-32,3,100000,19,0.00019,58,0.00058
-35,-32,4,100000,43,0.00043,84,0.00084
-35,-32,5,100000,21,0.00021,72,0.00072
-35,-31,0,100000,31,0.00031,80,0.0008
-35,-31,1,100000,29,0.00029,76,0.00076
-35,-31,2,100000,26,0.00026,64,0.00064
-35,-31,3,100000,14,0.00014,72,0.00072
-35,-31,4,100000,52,0.00052,74,0.00074
-35,-31,5,100000,18,0.00018,69,0.00069
-35,-30,0,100000,29,0.00029,76,0.00076
-35,-30,1,100000,26,0.00026,64,0.00064
-35,-30,2,100000,32,0.00032,67,0.00067
-35,-30,3,100000,43,0.00043,75,0.00075
-35,-30,4,100000,26,0.00026,79,0.00079
-35,-30,5,100000,17,0.00017,67,0.00067
-35,-29,0,100000,34,0.00034,73,0.00073
-35,-29,1,100000,25,0.00025,69,0.00069
-35,-29,2,100000,19,0.00019,67,0.00067
-35,-29,3,100000,47,0.00047,87,0.00087
-35,-29,4,100000,35,0.00035,80,0.0008
-35,-29,5,100000,29,0.00029,68,0.00068
-35,-28,0,100000,42,0.00042,89,0.00089
-35,-28,1,100000,29,0.00029,65,0.00065
-35,-28,2,100000,24,0.00024,54,0.00054
-35,-28,3,100000,20,0.0002,70,0.0007
-35,-28,4,100000,46,0.00046,70,0.0007
-35,-28,5,100000,41,0.00041,83,0.00083
-35,-27,0,100000,27,0.00027,82,0.00082
-35,-27,1,100000,38,0.00038,86,0.00086
-35,-27,2,100000,23,0.00023,86,0.00086
-35,-27,3,100000,31,0.00031,86,0.00086
-35,-27,4,100000,35,0.00035,71,0.00071
-35,-27,5,100000,36,0.00036,86,0.00086
-35,-26,0,100000,15,0.00015,64,0.00064
-35,-26,1,100000,36,0.00036,67,0.00067
-35,-26,2,100000,56,0.00056,79,0.00079
-35,-26,3,100000,35,0.00035,81,0.00081
-35,-26,4,100000,49,0.00049,88,0.00088
-35,-26,5,100000,34,0.00034,74,0.00074
-35,-25,0,100000,28,0.00028,77,0.00077
-35,-25,1,100000,27,0.00027,68,0.00068
-35,-25,2,100000,42,0.00042,74,0.00074
-35,-25,3,100000,37,0.00037,73,0.00073
-35,-25,4,100000,34,0.00034,83,0.00083
-35,-25,5,100000,37,0.00037,80,0.0008
-35,-24,0,100000,32,0.00032,74,0.00074
-35,-24,1,100000,27,0.00027,60,0.0006
-35,-24,2,100000,48,0.00048,65,0.00065
-35,-24,3,100000,35,0.00035,76,0.00076
-35,-24,4,100000,27,0.00027,67,0.00067
-35,-24,5,100000,13,0.00013,61,0.00061
-35,-23,0,100000,20,0.0002,67,0.00067
-35,-23,1,100000,49,0.00049,75,0.00075
-35,-23,2,100000,42,0.00042,87,0.00087
-35,-23,3,100000,41,0.00041,77,0.00077
-35,-23,4,100000,38,0.00038,69,0.00069
-35,-23,5,100000,44,0.00044,78,0.00078
-35,-22,0,100000,32,0.00032,72,0.00072
-35,-22,1,100000,34,0.00034,64,0.00064
-35,-22,2,100000,14,0.00014,65,0.00065
-35,-22,3,100000,16,0.00016,66,0.00066
-35,-22,4,100000,31,0.00031,72,0.00072
-35,-22,5,100000,17,0.00017,62,0.00062
-35,-21,0,100000,21,0.00021,69,0.00069
-35,-21,1,100000,37,0.00037,73,0.00073
-35,-21,2,100000,34,0.00034,73,0.00073
-35,-21,3,100000,31,0.00031,65,0.00065
-35,-21,4,100000,27,0.00027,59,0.00059
-35,-21,5,100000,23,0.00023,76,0.00076
-35,-20,0,100000,39,0.00039,77,0.00077
-35,-20,1,100000,49,0.00049,72,0.00072
-35,-20,2,100000,34,0.00034,75,0.00075
-35,-20,3,100000,34,0.00034,73,0.00073
-35,-20,4,100000,42,0.00042,71,0.00071
-35,-20,5,100000,26,0.00026,69,0.00069
-35,-19,0,100000,30,0.0003,76,0.00076
-35,-19,1,100000,18,0.00018,74,0.00074
-35,-19,2,100000,30,0.0003,62,0.00062
-35,-19,3,100000,22,0.00022,52,0.00052
-35,-19,4,100000,38,0.00038,70,0.0007
-35,-19,5,100000,35,0.00035,83,0.00083
-35,-18,0,100000,27,0.00027,72,0.00072
-35,-18,1,100000,32,0.00032,62,0.00062
-35,-18,2,100000,20,0.0002,70,0.0007
-35,-18,3,100000,17,0.00017,63,0.00063
-35,-18,4,100000,29,0.00029,69,0.00069
-35,-18,5,100000,20,0.0002,74,0.00074
-35,-17,0,100000,12,0.00012,64,0.00064
-35,-17,1,100000,41,0.00041,85,0.00085
-35,-17,2,100000,25,0.00025,71,0.00071
-35,-17,3,100000,19,0.00019,77,0.00077
-35,-17,4,100000,24,0.00024,80,0.0008
-35,-17,5,100000,33,0.00033,75,0.00075
-35,-16,0,100000,45,0.00045,86,0.00086
-35,-16,1,100000,37,0.00037,76,0.00076
-35,-16,2,100000,40,0.0004,84,0.00084
-35,-16,3,100000,37,0.00037,82,0.00082
-35,-16,4,100000,22,0.00022,77,0.00077
-35,-16,5,100000,29,0.00029,65,0.00065
-35,-15,0,100000,37,0.00037,86,0.00086
-35,-15,1,100000,45,0.00045,89,0.00089
-35,-15,2,100000,30,0.0003,73,0.00073
-35,-15,3,100000,32,0.00032,58,0.00058
-35,-15,4,100000,26,0.00026,66,0.00066
-35,-15,5,100000,29,0.00029,63,0.00063
-35,-14,0,100000,35,0.00035,77,0.00077
-35,-14,1,100000,47,0.00047,81,0.00081
-35,-14,2,100000,53,0.00053,79,0.00079
-35,-14,3,100000,27,0.00027,68,0.00068
-35,-14,4,100000,30,0.0003,68,0.00068
-35,-14,5,100000,30,0.0003,66,0.00066
-35,-13,0,100000,44,0.00044,74,0.00074
-35,-13,1,100000,40,0.0004,82,0.00082
-35,-13,2,100000,33,0.00033,60,0.0006
-35,-13,3,100000,34,0.00034,78,0.00078
-35,-13,4,100000,43,0.00043,86,0.00086
-35,-13,5,100000,44,0.00044,87,0.00087
-35,-12,0,100000,34,0.00034,65,0.00065
-35,-12,1,100000,30,0.0003,80,0.0008
-35,-12,2,100000,24,0.00024,74,0.00074
-35,-12,3,100000,18,0.00018,59,0.00059
-35,-12,4,100000,39,0.00039,87,0.00087
-35,-12,5,100000,27,0.00027,65,0.00065
-35,-11,0,100000,30,0.0003,71,0.00071
-35,-11,1,100000,38,0.00038,75,0.00075
-35,-11,2,100000,27,0.00027,76,0.00076
-35,-11,3,100000,47,0.00047,84,0.00084
-35,-11,4,100000,37,0.00037,76,0.00076
-35,-11,5,100000,28,0.00028,58,0.00058
-35,-10,0,100000,38,0.00038,52,0.00052
-35,-10,1,100000,18,0.00018,71,0.00071
-35,-10,2,100000,41,0.00041,79,0.00079
-35,-10,3,100000,31,0.00031,74,0.00074
-35,-10,4,100000,21,0.00021,61,0.00061
-35,-10,5,100000,29,0.00029,75,0.00075
-35,-9,0,100000,29,0.00029,70,0.0007
-35,-9,1,100000,23,0.00023,67,0.00067
-35,-9,2,100000,21,0.00021,76,0.00076
-35,-9,3,100000,39,0.00039,96,0.00096
-35,-9,4,100000,44,0.00044,88,0.00088
-35,-9,5,100000,24,0.00024,67,0.00067
-35,-8,0,100000,40,0.0004,81,0.00081
-35,-8,1,100000,29,0.00029,68,0.00068
-35,-8,2,100000,30,0.0003,67,0.00067
-35,-8,3,100000,43,0.00043,66,0.00066
-35,-8,4,100000,42,0.00042,77,0.00077
-35,-8,5,100000,15,0.00015,65,0.00065
-35,-7,0,100000,38,0.00038,73,0.00073
-35,-7,1,100000,23,0.00023,64,0.00064
-35,-7,2,100000,26,0.00026,79,0.00079
-35,-7,3,100000,32,0.00032,81,0.00081
-35,-7,4,100000,38,0.00038,68,0.00068
-35,-7,5,100000,44,0.00044,80,0.0008
-35,-6,0,100000,23,0.00023,75,0.00075
-35,-6,1,100000,14,0.00014,57,0.00057
-35,-6,2,100000,15,0.00015,68,0.00068
-35,-6,3,100000,25,0.00025,76,0.00076
-35,-6,4,100000,31,0.00031,72,0.00072
-35,-6,5,100000,29,0.00029,75,0.00075
-35,-5,0,100000,40,0.0004,82,0.00082
-35,-5,1,100000,28,0.00028,69,0.00069
-35,-5,2,100000,37,0.00037,71,0.00071
-35,-5,3,100000,30,0.0003,60,0.0006
-35,-5,4,100000,26,0.00026,74,0.00074
-35,-5,5,100000,30,0.0003,74,0.00074
-35,-4,0,100000,39,0.00039,68,0.00068
-35,-4,1,100000,30,0.0003,75,0.00075
-35,-4,2,100000,24,0.00024,58,0.00058
-35,-4,3,100000,27,0.00027,65,0.00065
-35,-4,4,100000,32,0.00032,82,0.00082
-35,-4,5,100000,14,0.00014,62,0.00062
-35,-3,0,100000,32,0.00032,69,0.00069
-35,-3,1,100000,48,0.00048,74,0.00074
-35,-3,2,100000,23,0.00023,72,0.00072
-35,-3,3,100000,23,0.00023,68,0.00068
-35,-3,4,100000,33,0.00033,74,0.00074
-35,-3,5,100000,42,0.00042,80,0.0008
-35,-2,0,100000,55,0.00055,81,0.00081
-35,-2,1,100000,37,0.00037,87,0.00087
-35,-2,2,100000,41,0.00041,72,0.00072
-35,-2,3,100000,33,0.00033,78,0.00078
-35,-2,4,100000,39,0.00039,80,0.0008
-35,-2,5,100000,26,0.00026,72,0.00072
-35,-1,0,100000,32,0.00032,60,0.0006
-35,-1,1,100000,22,0.00022,73,0.00073
-35,-1,2,100000,26,0.00026,75,0.00075
-35,-1,3,100000,23,0.00023,66,0.00066
-35,-1,4,100000,16,0.00016,68,0.00068
-35,-1,5,100000,29,0.00029,83,0.00083
-35,0,0,100000,32,0.00032,84,0.00084
-35,0,1,100000,41,0.00041,71,0.00071
-35,0,2,100000,28,0.00028,61,0.00061
-35,0,3,100000,31,0.00031,70,0.0007
-35,0,4,100000,14,0.00014,69,0.00069
-35,0,5,100000,28,0.00028,69,0.00069
-35,1,0,100000,41,0.00041,86,0.00086
-35,1,1,100000,19,0.00019,68,0.00068
-35,1,2,100000,24,0.00024,77,0.00077
-35,1,3,100000,28,0.00028,76,0.00076
-35,1,4,100000,33,0.00033,65,0.00065
-35,1,5,100000,34,0.00034,82,0.00082
-35,2,0,100000,27,0.00027,74,0.00074
-35,2,1,100000,25,0.00025,68,0.00068
-35,2,2,100000,28,0.00028,75,0.00075
-35,2,3,100000,13,0.00013,69,0.00069
-35,2,4,100000,26,0.00026,72,0.00072
-35,2,5,100000,27,0.00027,81,0.00081
-35,3,0,100000,25,0.00025,67,0.00067
-35,3,1,100000,22,0.00022,86,0.00086
-35,3,2,100000,33,0.00033,82,0.00082
-35,3,3,100000,33,0.00033,77,0.00077
-35,3,4,100000,35,0.00035,66,0.00066
-35,3,5,100000,39,0.00039,71,0.00071
-35,4,0,100000,41,0.00041,61,0.00061
-35,4,1,100000,33,0.00033,71,0.00071
-35,4,2,100000,12,0.00012,59,0.00059
-35,4,3,100000,36,0.00036,57,0.00057
-35,4,4,100000,30,0.0003,80,0.0008
-35,4,5,100000,29,0.00029,82,0.00082
-35,5,0,100000,34,0.00034,84,0.00084
-35,5,1,100000,27,0.00027,63,0.00063
-35,5,2,100000,32,0.00032,66,0.00066
-35,5,3,100000,34,0.00034,71,0.00071
-35,5,4,100000,20,0.0002,57,0.00057
-35,5,5,100000,32,0.00032,89,0.00089
-35,6,0,100000,28,0.00028,70,0.0007
-35,6,1,100000,20,0.0002,77,0.00077
-35,6,2,100000,56,0.00056,77,0.00077
-35,6,3,100000,23,0.00023,67,0.00067
-35,6,4,100000,20,0.0002,72,0.00072
-35,6,5,100000,29,0.00029,55,0.00055
-35,7,0,100000,31,0.00031,85,0.00085
-35,7,1,100000,30,0.0003,78,0.00078
-35,7,2,100000,28,0.00028,71,0.00071
-35,7,3,100000,24,0.00024,56,0.00056
-35,7,4,100000,37,0.00037,85,0.00085
