x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-28.2,9.8,400000,44972,0.11243,152137,0.380342
-28.2,10,400000,45018,0.112545,152401,0.381003
-28.2,10.2,400000,44613,0.111533,151810,0.379525
-28.2,10.4,400000,45094,0.112735,152950,0.382375
-28.2,10.6,400000,44817,0.112043,151991,0.379978
-28.2,10.8,400000,44701,0.111753,152190,0.380475
-28.2,11,400000,44901,0.112253,152154,0.380385
-28.2,11.2,400000,44459,0.111147,151423,0.378557
-28.2,11.4,400000,44987,0.112467,151780,0.37945
-28.2,11.6,400000,44463,0.111158,152119,0.380298
-28.2,11.8,400000,44492,0.11123,151817,0.379543
-28.2,12,400000,44550,0.111375,152445,0.381113
-28.2,12.2,400000,44761,0.111903,152097,0.380242
-28.2,12.4,400000,45090,0.112725,152412,0.38103
-28.2,12.6,400000,45044,0.11261,152600,0.3815
-28.2,12.8,400000,44949,0.112373,152167,0.380418
-28.2,13,400000,45346,0.113365,152482,0.381205
-28.2,13.2,400000,45004,0.11251,152400,0.381
-28.2,13.4,400000,45185,0.112962,152302,0.380755
-28.2,13.6,400000,44917,0.112293,152695,0.381738
-28.2,13.8,400000,44662,0.111655,152065,0.380163
-28.2,14,400000,44599,0.111497,151591,0.378978
-28.2,14.2,400000,44822,0.112055,152609,0.381522
-28.2,14.4,400000,45001,0.112503,151936,0.37984
-28.2,14.6,400000,44914,0.112285,152259,0.380648
-28.2,14.8,400000,44659,0.111647,152647,0.381617
-28.2,15,400000,45067,0.112668,152761,0.381902
-28.2,15.2,400000,45255,0.113138,152106,0.380265
-28.2,15.4,400000,44792,0.11198,151835,0.379588
-28.2,15.6,400000,44969,0.112422,152238,0.380595
-28.2,15.8,400000,44716,0.11179,151808,0.37952
-28.2,16,400000,44774,0.111935,151666,0.379165
-28.2,16.2,400000,44206,0.110515,151530,0.378825
-28.2,16.4,400000,44532,0.11133,151368,0.37842
-28.2,16.6,400000,44882,0.112205,151732,0.37933
-28.2,16.8,400000,44456,0.11114,151962,0.379905
-28.2,17,400000,44908,0.11227,152259,0.380648
-28.2,17.2,400000,45269,0.113172,151844,0.37961
-28.2,17.4,400000,44693,0.111732,151985,0.379962
-28.2,17.6,400000,44746,0.111865,152401,0.381003
-28.2,17.8,400000,44475,0.111187,151565,0.378912
-28.2,18,400000,44678,0.111695,152447,0.381117
-28.2,18.2,400000,45534,0.113835,152310,0.380775
-28.2,18.4,400000,44853,0.112132,152153,0.380383
-28.2,18.6,400000,44838,0.112095,152305,0.380763
-28.2,18.8,400000,44596,0.11149,151444,0.37861
-28.2,19,400000,44899,0.112248,152147,0.380368
-28.2,19.2,400000,44658,0.111645,151615,0.379038
-28.2,19.4,400000,45062,0.112655,152555,0.381387
-28.2,19.6,400000,45101,0.112753,152731,0.381827
-28.2,19.8,400000,45039,0.112598,152012,0.38003
-28.2,20,400000,44577,0.111442,152106,0.380265
-28.2,20.2,400000,44868,0.11217,151987,0.379968
-28.2,20.4,400000,44845,0.112113,152135,0.380337
-28.2,20.6,400000,44678,0.111695,152361,0.380902
-28.2,20.8,400000,44473,0.111183,151384,0.37846
-28.2,21,400000,44917,0.112293,152358,0.380895
-28.2,21.2,400000,44824,0.11206,152567,0.381418
