x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-15,-8,0,100000,249,0.00249,596,0.00596
-15,-8,1,100000,261,0.00261,683,0.00683
-15,-8,2,100000,270,0.0027,777,0.00777
-15,-8,3,100000,356,0.00356,802,0.00802
-15,-8,4,100000,333,0.00333,810,0.0081
-15,-8,5,100000,291,0.00291,669,0.00669
-15,-7,0,100000,211,0.00211,606,0.00606
-15,-7,1,100000,252,0.00252,709,0.00709
-15,-7,2,100000,322,0.00322,771,0.00771
-15,-7,3,100000,317,0.00317,818,0.00818
-15,-7,4,100000,308,0.00308,791,0.00791
-15,-7,5,100000,280,0.0028,718,0.00718
-15,-6,0,100000,235,0.00235,653,0.00653
-15,-6,1,100000,294,0.00294,753,0.00753
-15,-6,2,100000,341,0.00341,802,0.00802
-15,-6,3,100000,300,0.003,766,0.00766
-15,-6,4,100000,315,0.00315,804,0.00804
-15,-6,5,100000,272,0.00272,683,0.00683
-15,-5,0,100000,264,0.00264,622,0.00622
-15,-5,1,100000,312,0.00312,713,0.00713
-15,-5,2,100000,265,0.00265,729,0.00729
-15,-5,3,100000,291,0.00291,795,0.00795
-15,-5,4,100000,330,0.0033,807,0.00807
-15,-5,5,100000,283,0.00283,687,0.00687
-15,-4,0,100000,298,0.00298,662,0.00662
-15,-4,1,100000,262,0.00262,680,0.0068
-15,-4,2,100000,300,0.003,734,0.00734
-15,-4,3,100000,303,0.00303,786,0.00786
-15,-4,4,100000,331,0.00331,784,0.00784
-15,-4,5,100000,291,0.00291,703,0.00703
-15,-3,0,100000,266,0.00266,641,0.00641
-15,-3,1,100000,291,0.00291,698,0.00698
-15,-3,2,100000,301,0.00301,773,0.00773
-15,-3,3,100000,327,0.00327,803,0.00803
-15,-3,4,100000,338,0.00338,824,0.00824
-15,-3,5,100000,268,0.00268,658,0.00658
-15,-2,0,100000,255,0.00255,647,0.00647
-15,-2,1,100000,238,0.00238,684,0.00684
-15,-2,2,100000,306,0.00306,763,0.00763
-15,-2,3,100000,394,0.00394,865,0.00865
-15,-2,4,100000,343,0.00343,782,0.00782
-15,-2,5,100000,274,0.00274,673,0.00673
-15,-1,0,100000,233,0.00233,598,0.00598
-15,-1,1,100000,249,0.00249,723,0.00723
-15,-1,2,100000,359,0.00359,794,0.00794
-15,-1,3,100000,348,0.00348,822,0.00822
-15,-1,4,100000,310,0.0031,783,0.00783
-15,-1,5,100000,259,0.00259,675,0.00675
-15,0,0,100000,254,0.00254,652,0.00652
-15,0,1,100000,215,0.00215,666,0.00666
-15,0,2,100000,329,0.00329,801,0.00801
-15,0,3,100000,330,0.0033,794,0.00794
-15,0,4,100000,337,0.00337,791,0.00791
-15,0,5,100000,281,0.00281,712,0.00712
-15,1,0,100000,293,0.00293,673,0.00673
-15,1,1,100000,272,0.00272,675,0.00675
-15,1,2,100000,337,0.00337,765,0.00765
-15,1,3,100000,324,0.00324,835,0.00835
-15,1,4,100000,321,0.00321,767,0.00767
-15,1,5,100000,259,0.00259,673,0.00673
-15,2,0,100000,225,0.00225,658,0.00658
-15,2,1,100000,252,0.00252,717,0.00717
-15,2,2,100000,316,0.00316,784,0.00784
-15,2,3,100000,327,0.00327,787,0.00787
-15,2,4,100000,328,0.00328,845,0.00845
-15,2,5,100000,279,0.00279,675,0.00675
-15,3,0,100000,223,0.00223,631,0.00631
-15,3,1,100000,271,0.00271,686,0.00686
-15,3,2,100000,329,0.00329,753,0.00753
-15,3,3,100000,356,0.00356,849,0.00849
-15,3,4,100000,348,0.00348,811,0.00811
-15,3,5,100000,295,0.00295,700,0.007
-15,4,0,100000,225,0.00225,649,0.00649
-15,4,1,100000,275,0.00275,686,0.00686
-15,4,2,100000,305,0.00305,747,0.00747
-15,4,3,100000,310,0.0031,820,0.0082
-15,4,4,100000,300,0.003,766,0.00766
-15,4,5,100000,268,0.00268,705,0.00705
-15,5,0,100000,266,0.00266,621,0.00621
-15,5,1,100000,241,0.00241,678,0.00678
-15,5,2,100000,294,0.00294,777,0.00777
-15,5,3,100000,315,0.00315,803,0.00803
-15,5,4,100000,328,0.00328,778,0.00778
-15,5,5,100000,310,0.0031,735,0.00735
-15,6,0,100000,237,0.00237,614,0.00614
-15,6,1,100000,305,0.00305,749,0.00749
