x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-36,36,0,100000,36,0.00036,78,0.00078
-36,36,1,100000,30,0.0003,76,0.00076
-36,36,2,100000,23,0.00023,65,0.00065
-36,36,3,100000,27,0.00027,72,0.00072
-36,36,4,100000,28,0.00028,93,0.00093
-36,36,5,100000,33,0.00033,81,0.00081
-36,37,0,100000,17,0.00017,74,0.00074
-36,37,1,100000,23,0.00023,76,0.00076
-36,37,2,100000,36,0.00036,65,0.00065
-36,37,3,100000,26,0.00026,69,0.00069
-36,37,4,100000,44,0.00044,71,0.00071
-36,37,5,100000,35,0.00035,73,0.00073
-36,38,0,100000,18,0.00018,76,0.00076
-36,38,1,100000,50,0.0005,79,0.00079
-36,38,2,100000,32,0.00032,70,0.0007
-36,38,3,100000,30,0.0003,85,0.00085
-36,38,4,100000,18,0.00018,79,0.00079
-36,38,5,100000,28,0.00028,68,0.00068
-36,39,0,100000,34,0.00034,78,0.00078
-36,39,1,100000,15,0.00015,68,0.00068
-36,39,2,100000,29,0.00029,80,0.0008
-36,39,3,100000,29,0.00029,70,0.0007
-36,39,4,100000,20,0.0002,75,0.00075
-36,39,5,100000,42,0.00042,94,0.00094
-36,40,0,100000,36,0.00036,81,0.00081
-36,40,1,100000,25,0.00025,61,0.00061
-36,40,2,100000,24,0.00024,72,0.00072
-36,40,3,100000,19,0.00019,57,0.00057
-36,40,4,100000,39,0.00039,72,0.00072
-36,40,5,100000,29,0.00029,83,0.00083
-36,41,0,100000,21,0.00021,70,0.0007
-36,41,1,100000,32,0.00032,84,0.00084
-36,41,2,100000,24,0.00024,80,0.0008
-36,41,3,100000,39,0.00039,76,0.00076
-36,41,4,100000,32,0.00032,62,0.00062
-36,41,5,100000,22,0.00022,71,0.00071
-36,42,0,100000,47,0.00047,67,0.00067
-36,42,1,100000,30,0.0003,64,0.00064
-36,42,2,100000,45,0.00045,81,0.00081
-36,42,3,100000,25,0.00025,80,0.0008
-36,42,4,100000,37,0.00037,86,0.00086
-36,42,5,100000,37,0.00037,77,0.00077
-36,43,0,100000,33,0.00033,94,0.00094
-36,43,1,100000,29,0.00029,69,0.00069
-36,43,2,100000,42,0.00042,69,0.00069
-36,43,3,100000,32,0.00032,74,0.00074
-36,43,4,100000,42,0.00042,80,0.0008
-36,43,5,100000,30,0.0003,66,0.00066
-36,44,0,100000,23,0.00023,55,0.00055
-36,44,1,100000,30,0.0003,72,0.00072
-36,44,2,100000,24,0.00024,63,0.00063
-36,44,3,100000,24,0.00024,74,0.00074
-36,44,4,100000,21,0.00021,75,0.00075
-36,44,5,100000,10,0.0001,59,0.00059
-36,45,0,100000,15,0.00015,67,0.00067
-36,45,1,100000,52,0.00052,82,0.00082
-36,45,2,100000,46,0.00046,93,0.00093
-36,45,3,100000,31,0.00031,81,0.00081
-36,45,4,100000,36,0.00036,68,0.00068
-36,45,5,100000,35,0.00035,64,0.00064
-36,46,0,100000,39,0.00039,80,0.0008
-36,46,1,100000,19,0.00019,69,0.00069
-36,46,2,100000,32,0.00032,71,0.00071
-36,46,3,100000,16,0.00016,65,0.00065
-36,46,4,100000,33,0.00033,81,0.00081
-36,46,5,100000,27,0.00027,65,0.00065
-36,47,0,100000,34,0.00034,73,0.00073
-36,47,1,100000,31,0.00031,72,0.00072
-36,47,2,100000,48,0.00048,73,0.00073
-36,47,3,100000,20,0.0002,76,0.00076
-36,47,4,100000,23,0.00023,54,0.00054
-36,47,5,100000,28,0.00028,83,0.00083
-36,48,0,100000,36,0.00036,86,0.00086
-36,48,1,100000,31,0.00031,79,0.00079
-36,48,2,100000,43,0.00043,77,0.00077
-36,48,3,100000,27,0.00027,61,0.00061
-36,48,4,100000,28,0.00028,68,0.00068
-36,48,5,100000,47,0.00047,71,0.00071
-36,49,0,100000,26,0.00026,70,0.0007
-36,49,1,100000,19,0.00019,77,0.00077
-36,49,2,100000,30,0.0003,59,0.00059
-36,49,3,100000,32,0.00032,68,0.00068
-36,49,4,100000,28,0.00028,64,0.00064
-36,49,5,100000,39,0.00039,74,0.00074
-36,50,0,100000,43,0.00043,66,0.00066
-36,50,1,100000,13,0.00013,67,0.00067
-36,50,2,100000,22,0.00022,67,0.00067
-36,50,3,100000,23,0.00023,61,0.00061
-36,50,4,100000,10,0.0001,75,0.00075
-36,50,5,100000,28,0.00028,81,0.00081
-35,-50,0,100000,16,0.00016,66,0.00066
-35,-50,1,100000,41,0.00041,84,0.00084
-35,-50,2,100000,34,0.00034,69,0.00069
-35,-50,3,100000,36,0.00036,77,0.00077
-35,-50,4,100000,19,0.00019,71,0.00071
-35,-50,5,100000,9,9e-05,70,0.0007
-35,-49,0,100000,36,0.00036,59,0.00059
-35,-49,1,100000,27,0.00027,68,0.00068
-35,-49,2,100000,35,0.00035,80,0.0008
-35,-49,3,100000,33,0.00033,71,0.00071
-35,-49,4,100000,19,0.00019,82,0.00082
