x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-47,22,0,100000,41,0.00041,77,0.00077
-47,22,1,100000,56,0.00056,98,0.00098
-47,22,2,100000,28,0.00028,71,0.00071
-47,22,3,100000,18,0.00018,67,0.00067
-47,22,4,100000,31,0.00031,79,0.00079
-47,22,5,100000,29,0.00029,76,0.00076
-47,23,0,100000,19,0.00019,83,0.00083
-47,23,1,100000,25,0.00025,82,0.00082
-47,23,2,100000,40,0.0004,76,0.00076
-47,23,3,100000,30,0.0003,80,0.0008
-47,23,4,100000,53,0.00053,82,0.00082
-47,23,5,100000,41,0.00041,67,0.00067
-47,24,0,100000,42,0.00042,87,0.00087
-47,24,1,100000,30,0.0003,79,0.00079
-47,24,2,100000,23,0.00023,83,0.00083
-47,24,3,100000,30,0.0003,88,0.00088
-47,24,4,100000,26,0.00026,84,0.00084
-47,24,5,100000,47,0.00047,69,0.00069
-47,25,0,100000,13,0.00013,73,0.00073
-47,25,1,100000,18,0.00018,60,0.0006
-47,25,2,100000,24,0.00024,69,0.00069
-47,25,3,100000,33,0.00033,75,0.00075
-47,25,4,100000,31,0.00031,89,0.00089
-47,25,5,100000,35,0.00035,73,0.00073
-47,26,0,100000,36,0.00036,81,0.00081
-47,26,1,100000,25,0.00025,75,0.00075
-47,26,2,100000,16,0.00016,64,0.00064
-47,26,3,100000,23,0.00023,72,0.00072
-47,26,4,100000,26,0.00026,69,0.00069
-47,26,5,100000,22,0.00022,71,0.00071
-47,27,0,100000,18,0.00018,69,0.00069
-47,27,1,100000,28,0.00028,81,0.00081
-47,27,2,100000,35,0.00035,92,0.00092
-47,27,3,100000,28,0.00028,73,0.00073
-47,27,4,100000,34,0.00034,76,0.00076
-47,27,5,100000,27,0.00027,78,0.00078
-47,28,0,100000,49,0.00049,70,0.0007
-47,28,1,100000,42,0.00042,78,0.00078
-47,28,2,100000,51,0.00051,76,0.00076
-47,28,3,100000,24,0.00024,90,0.0009
-47,28,4,100000,24,0.00024,76,0.00076
-47,28,5,100000,36,0.00036,76,0.00076
-47,29,0,100000,39,0.00039,78,0.00078
-47,29,1,100000,37,0.00037,63,0.00063
-47,29,2,100000,39,0.00039,69,0.00069
-47,29,3,100000,39,0.00039,80,0.0008
-47,29,4,100000,37,0.00037,85,0.00085
-47,29,5,100000,31,0.00031,71,0.00071
-47,30,0,100000,34,0.00034,55,0.00055
-47,30,1,100000,16,0.00016,52,0.00052
-47,30,2,100000,39,0.00039,77,0.00077
-47,30,3,100000,11,0.00011,67,0.00067
-47,30,4,100000,23,0.00023,69,0.00069
-47,30,5,100000,10,0.0001,50,0.0005
-47,31,0,100000,20,0.0002,74,0.00074
-47,31,1,100000,32,0.00032,70,0.0007
-47,31,2,100000,28,0.00028,78,0.00078
-47,31,3,100000,39,0.00039,81,0.00081
-47,31,4,100000,25,0.00025,79,0.00079
-47,31,5,100000,31,0.00031,72,0.00072
-47,32,0,100000,38,0.00038,85,0.00085
-47,32,1,100000,40,0.0004,71,0.00071
-47,32,2,100000,33,0.00033,76,0.00076
-47,32,3,100000,22,0.00022,69,0.00069
-47,32,4,100000,25,0.00025,73,0.00073
-47,32,5,100000,23,0.00023,78,0.00078
-47,33,0,100000,29,0.00029,76,0.00076
-47,33,1,100000,31,0.00031,73,0.00073
-47,33,2,100000,42,0.00042,68,0.00068
-47,33,3,100000,27,0.00027,80,0.0008
-47,33,4,100000,28,0.00028,65,0.00065
-47,33,5,100000,30,0.0003,63,0.00063
-47,34,0,100000,36,0.00036,87,0.00087
-47,34,1,100000,32,0.00032,66,0.00066
-47,34,2,100000,35,0.00035,74,0.00074
-47,34,3,100000,30,0.0003,71,0.00071
-47,34,4,100000,31,0.00031,65,0.00065
-47,34,5,100000,47,0.00047,82,0.00082
-47,35,0,100000,30,0.0003,82,0.00082
-47,35,1,100000,28,0.00028,71,0.00071
-47,35,2,100000,30,0.0003,69,0.00069
-47,35,3,100000,30,0.0003,60,0.0006
-47,35,4,100000,31,0.00031,71,0.00071
-47,35,5,100000,26,0.00026,66,0.00066
-47,36,0,100000,37,0.00037,64,0.00064
-47,36,1,100000,17,0.00017,73,0.00073
-47,36,2,100000,16,0.00016,67,0.00067
-47,36,3,100000,20,0.0002,66,0.00066
-47,36,4,100000,25,0.00025,73,0.00073
-47,36,5,100000,31,0.00031,63,0.00063
-47,37,0,100000,23,0.00023,77,0.00077
-47,37,1,100000,35,0.00035,87,0.00087
-47,37,2,100000,49,0.00049,79,0.00079
-47,37,3,100000,48,0.00048,86,0.00086
-47,37,4,100000,25,0.00025,81,0.00081
-47,37,5,100000,16,0.00016,75,0.00075
-47,38,0,100000,43,0.00043,77,0.00077
-47,38,1,100000,25,0.00025,57,0.00057
-47,38,2,100000,38,0.00038,61,0.00061
-47,38,3,100000,30,0.0003,66,0.00066
-47,38,4,100000,15,0.00015,68,0.00068
-47,38,5,100000,34,0.00034,60,0.0006
-47,39,0,100000,48,0.00048,69,0.00069
-47,39,1,100000,45,0.00045,82,0.00082
-47,39,2,100000,29,0.00029,81,0.00081
-47,39,3,100000,34,0.00034,60,0.0006
-47,39,4,100000,32,0.00032,68,0.00068
-47,39,5,100000,28,0.00028,67,0.00067
-47,40,0,100000,41,0.00041,79,0.00079
-47,40,1,100000,45,0.00045,77,0.00077
-47,40,2,100000,26,0.00026,59,0.00059
-47,40,3,100000,28,0.00028,75,0.00075
-47,40,4,100000,24,0.00024,55,0.00055
-47,40,5,100000,33,0.00033,69,0.00069
-47,41,0,100000,15,0.00015,70,0.0007
-47,41,1,100000,18,0.00018,67,0.00067
-47,41,2,100000,21,0.00021,64,0.00064
-47,41,3,100000,38,0.00038,78,0.00078
-47,41,4,100000,43,0.00043,81,0.00081
-47,41,5,100000,33,0.00033,72,0.00072
-47,42,0,100000,31,0.00031,66,0.00066
-47,42,1,100000,29,0.00029,84,0.00084
-47,42,2,100000,15,0.00015,60,0.0006
-47,42,3,100000,9,9e-05,72,0.00072
-47,42,4,100000,46,0.00046,78,0.00078
-47,42,5,100000,35,0.00035,73,0.00073
-47,43,0,100000,32,0.00032,66,0.00066
-47,43,1,100000,37,0.00037,70,0.0007
-47,43,2,100000,35,0.00035,76,0.00076
-47,43,3,100000,28,0.00028,70,0.0007
-47,43,4,100000,28,0.00028,71,0.00071
-47,43,5,100000,39,0.00039,76,0.00076
-47,44,0,100000,39,0.00039,71,0.00071
-47,44,1,100000,14,0.00014,58,0.00058
-47,44,2,100000,33,0.00033,67,0.00067
-47,44,3,100000,27,0.00027,63,0.00063
-47,44,4,100000,25,0.00025,88,0.00088
-47,44,5,100000,25,0.00025,72,0.00072
-47,45,0,100000,28,0.00028,64,0.00064
-47,45,1,100000,16,0.00016,53,0.00053
-47,45,2,100000,33,0.00033,80,0.0008
-47,45,3,100000,23,0.00023,84,0.00084
-47,45,4,100000,31,0.00031,66,0.00066
-47,45,5,100000,28,0.00028,89,0.00089
-47,46,0,100000,19,0.00019,75,0.00075
-47,46,1,100000,39,0.00039,61,0.00061
-47,46,2,100000,24,0.00024,83,0.00083
-47,46,3,100000,29,0.00029,51,0.00051
-47,46,4,100000,10,0.0001,72,0.00072
-47,46,5,100000,31,0.00031,80,0.0008
-47,47,0,100000,47,0.00047,62,0.00062
-47,47,1,100000,16,0.00016,76,0.00076
-47,47,2,100000,19,0.00019,75,0.00075
-47,47,3,100000,28,0.00028,80,0.0008
-47,47,4,100000,39,0.00039,79,0.00079
-47,47,5,100000,41,0.00041,66,0.00066
-47,48,0,100000,26,0.00026,85,0.00085
-47,48,1,100000,15,0.00015,60,0.0006
-47,48,2,100000,17,0.00017,61,0.00061
-47,48,3,100000,33,0.00033,74,0.00074
-47,48,4,100000,21,0.00021,64,0.00064
-47,48,5,100000,28,0.00028,80,0.0008
-47,49,0,100000,36,0.00036,67,0.00067
-47,49,1,100000,32,0.00032,65,0.00065
-47,49,2,100000,38,0.00038,63,0.00063
-47,49,3,100000,22,0.00022,59,0.00059
-47,49,4,100000,22,0.00022,66,0.00066
-47,49,5,100000,35,0.00035,77,0.00077
-47,50,0,100000,29,0.00029,79,0.00079
-47,50,1,100000,16,0.00016,67,0.00067
-47,50,2,100000,41,0.00041,79,0.00079
-47,50,3,100000,22,0.00022,72,0.00072
-47,50,4,100000,32,0.00032,63,0.00063
-47,50,5,100000,14,0.00014,67,0.00067
-46,-50,0,100000,28,0.00028,71,0.00071
-46,-50,1,100000,33,0.00033,82,0.00082
-46,-50,2,100000,34,0.00034,64,0.00064
-46,-50,3,100000,26,0.00026,66,0.00066
-46,-50,4,100000,17,0.00017,70,0.0007
-46,-50,5,100000,25,0.00025,58,0.00058
-46,-49,0,100000,29,0.00029,61,0.00061
-46,-49,1,100000,26,0.00026,78,0.00078
-46,-49,2,100000,50,0.0005,79,0.00079
-46,-49,3,100000,36,0.00036,61,0.00061
-46,-49,4,100000,16,0.00016,64,0.00064
-46,-49,5,100000,32,0.00032,74,0.00074
-46,-48,0,100000,40,0.0004,64,0.00064
-46,-48,1,100000,42,0.00042,68,0.00068
-46,-48,2,100000,31,0.00031,71,0.00071
-46,-48,3,100000,15,0.00015,68,0.00068
-46,-48,4,100000,17,0.00017,63,0.00063
-46,-48,5,100000,24,0.00024,86,0.00086
-46,-47,0,100000,34,0.00034,73,0.00073
-46,-47,1,100000,24,0.00024,81,0.00081
-46,-47,2,100000,35,0.00035,69,0.00069
-46,-47,3,100000,31,0.00031,72,0.00072
-46,-47,4,100000,24,0.00024,77,0.00077
-46,-47,5,100000,28,0.00028,83,0.00083
-46,-46,0,100000,10,0.0001,62,0.00062
-46,-46,1,100000,17,0.00017,55,0.00055
-46,-46,2,100000,35,0.00035,67,0.00067
-46,-46,3,100000,38,0.00038,83,0.00083
-46,-46,4,100000,35,0.00035,54,0.00054
-46,-46,5,100000,54,0.00054,90,0.0009
-46,-45,0,100000,37,0.00037,75,0.00075
-46,-45,1,100000,26,0.00026,72,0.00072
-46,-45,2,100000,37,0.00037,71,0.00071
-46,-45,3,100000,34,0.00034,82,0.00082
-46,-45,4,100000,12,0.00012,65,0.00065
-46,-45,5,100000,18,0.00018,65,0.00065
-46,-44,0,100000,43,0.00043,73,0.00073
-46,-44,1,100000,39,0.00039,84,0.00084
-46,-44,2,100000,23,0.00023,72,0.00072
-46,-44,3,100000,19,0.00019,78,0.00078
-46,-44,4,100000,53,0.00053,80,0.0008
-46,-44,5,100000,37,0.00037,67,0.00067
-46,-43,0,100000,27,0.00027,70,0.0007
-46,-43,1,100000,25,0.00025,64,0.00064
-46,-43,2,100000,26,0.00026,63,0.00063
-46,-43,3,100000,32,0.00032,58,0.00058
-46,-43,4,100000,38,0.00038,83,0.00083
-46,-43,5,100000,30,0.0003,78,0.00078
-46,-42,0,100000,26,0.00026,69,0.00069
-46,-42,1,100000,19,0.00019,61,0.00061
-46,-42,2,100000,32,0.00032,76,0.00076
-46,-42,3,100000,45,0.00045,74,0.00074
-46,-42,4,100000,13,0.00013,61,0.00061
-46,-42,5,100000,16,0.00016,67,0.00067
-46,-41,0,100000,29,0.00029,79,0.00079
-46,-41,1,100000,45,0.00045,97,0.00097
-46,-41,2,100000,31,0.00031,66,0.00066
-46,-41,3,100000,23,0.00023,80,0.0008
-46,-41,4,100000,33,0.00033,81,0.00081
-46,-41,5,100000,39,0.00039,58,0.00058
-46,-40,0,100000,24,0.00024,68,0.00068
-46,-40,1,100000,38,0.00038,78,0.00078
-46,-40,2,100000,26,0.00026,69,0.00069
-46,-40,3,100000,23,0.00023,71,0.00071
-46,-40,4,100000,39,0.00039,73,0.00073
-46,-40,5,100000,21,0.00021,57,0.00057
