x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
0,0.8,400000,44690,0.111725,151945,0.379862
0,1,400000,45052,0.11263,152393,0.380983
0,1.2,400000,44474,0.111185,151731,0.379327
0,1.4,400000,44992,0.11248,152946,0.382365
0,1.6,400000,44819,0.112047,152070,0.380175
0,1.8,400000,44545,0.111363,151888,0.37972
0,2,400000,44927,0.112318,152117,0.380292
0,2.2,400000,44419,0.111047,151664,0.37916
0,2.4,400000,45001,0.112503,151542,0.378855
0,2.6,400000,44484,0.11121,152009,0.380022
0,2.8,400000,44334,0.110835,151523,0.378808
0,3,400000,44317,0.110793,151905,0.379763
0,3.2,400000,44680,0.1117,151567,0.378918
0,3.4,400000,45145,0.112863,152265,0.380663
0,3.6,400000,44920,0.1123,152743,0.381858
0,3.8,400000,44911,0.112278,152277,0.380692
0,4,400000,45501,0.113753,152497,0.381242
0,4.2,400000,44956,0.11239,152076,0.38019
0,4.4,400000,45115,0.112787,152593,0.381483
0,4.6,400000,44868,0.11217,152993,0.382483
0,4.8,400000,44914,0.112285,152015,0.380037
0,5,400000,44505,0.111263,151772,0.37943
0,5.2,400000,44964,0.11241,152888,0.38222
0,5.4,400000,45027,0.112568,151973,0.379933
0,5.6,400000,45059,0.112647,152101,0.380252
0,5.8,400000,44579,0.111448,152773,0.381933
0,6,400000,45271,0.113178,152637,0.381593
0,6.2,400000,45090,0.112725,151987,0.379968
0,6.4,400000,44706,0.111765,152099,0.380248
0,6.6,400000,44950,0.112375,152380,0.38095
0,6.8,400000,44441,0.111103,151572,0.37893
0,7,400000,44959,0.112397,152130,0.380325
0,7.2,400000,44362,0.110905,151557,0.378893
0,7.4,400000,44774,0.111935,151860,0.37965
0,7.6,400000,44814,0.112035,151799,0.379497
0,7.8,400000,44846,0.112115,152159,0.380397
0,8,400000,44825,0.112062,152361,0.380902
0,8.2,400000,45215,0.113037,152052,0.38013
0,8.4,400000,44444,0.11111,151613,0.379032
0,8.6,400000,44828,0.11207,152440,0.3811
0,8.8,400000,44805,0.112013,152011,0.380028
0,9,400000,44714,0.111785,152537,0.381342
0,9.2,400000,45422,0.113555,151842,0.379605
0,9.4,400000,45005,0.112513,152371,0.380927
0,9.6,400000,44803,0.112007,152281,0.380702
0,9.8,400000,44370,0.110925,151448,0.37862
0,10,400000,45051,0.112628,152320,0.3808
0,10.2,400000,44673,0.111683,151647,0.379117
0,10.4,400000,44784,0.11196,152279,0.380698
0,10.6,400000,45337,0.113342,152820,0.38205
0,10.8,400000,45042,0.112605,152009,0.380022
0,11,400000,44570,0.111425,152104,0.38026
0,11.2,400000,44732,0.11183,152080,0.3802
0,11.4,400000,44765,0.111912,152192,0.38048
0,11.6,400000,44622,0.111555,152582,0.381455
0,11.8,400000,44411,0.111028,151707,0.379267
0,12,400000,45019,0.112547,152740,0.38185
0,12.2,400000,44853,0.112132,152537,0.381342
0,12.4,400000,45066,0.112665,152296,0.38074
0,12.6,400000,45056,0.11264,152269,0.380673
0,12.8,400000,44056,0.11014,151880,0.3797
0,13,400000,45260,0.11315,152270,0.380675
0,13.2,400000,44681,0.111702,152486,0.381215
0,13.4,400000,44880,0.1122,151492,0.37873
0,13.6,400000,44704,0.11176,152083,0.380207
0,13.8,400000,44907,0.112268,151984,0.37996
0,14,400000,44343,0.110857,152034,0.380085
0,14.2,400000,44555,0.111388,152116,0.38029
0,14.4,400000,44645,0.111613,151654,0.379135
0,14.6,400000,44487,0.111217,151663,0.379157
0,14.8,400000,44971,0.112427,152108,0.38027
0,15,400000,44612,0.11153,152321,0.380802
0,15.2,400000,45066,0.112665,152414,0.381035
0,15.4,400000,44814,0.112035,152183,0.380458
0,15.6,400000,45245,0.113113,152931,0.382327
0,15.8,400000,44957,0.112393,151815,0.379538
0,16,400000,44915,0.112287,152409,0.381022
0,16.2,400000,44926,0.112315,152303,0.380758
0,16.4,400000,44195,0.110488,151980,0.37995
0,16.6,400000,44320,0.1108,151761,0.379402
0,16.8,400000,44591,0.111477,151682,0.379205
0,17,400000,44931,0.112327,152525,0.381312
0,17.2,400000,44503,0.111257,152248,0.38062
0,17.4,400000,44740,0.11185,152089,0.380223
0,17.6,400000,44565,0.111412,152210,0.380525
0,17.8,400000,44490,0.111225,152243,0.380607
0,18,400000,45088,0.11272,152532,0.38133
0,18.2,400000,44473,0.111183,151957,0.379893
0,18.4,400000,45036,0.11259,152335,0.380837
0,18.6,400000,44768,0.11192,152136,0.38034
0,18.8,400000,44660,0.11165,152189,0.380472
0,19,400000,45283,0.113208,151982,0.379955
0,19.2,400000,45311,0.113278,153348,0.38337
0,19.4,400000,44313,0.110783,151721,0.379302
0,19.6,400000,45304,0.11326,152093,0.380232
0,19.8,400000,44162,0.110405,152358,0.380895
0,20,400000,45175,0.112937,152162,0.380405
0,20.2,400000,44963,0.112407,152443,0.381107
0,20.4,400000,44665,0.111662,151964,0.37991
0,20.6,400000,44812,0.11203,152236,0.38059
0,20.8,400000,44536,0.11134,151683,0.379207
0,21,400000,44481,0.111202,151576,0.37894
0,21.2,400000,45099,0.112748,152384,0.38096
0,21.4,400000,44944,0.11236,151998,0.379995
0,21.6,400000,44691,0.111727,151820,0.37955
0,21.8,400000,45160,0.1129,152299,0.380748
0,22,400000,45155,0.112888,152007,0.380018
0,22.2,400000,44885,0.112213,152539,0.381348
0,22.4,400000,45027,0.112568,151476,0.37869
0,22.6,400000,45264,0.11316,152608,0.38152
0,22.8,400000,45206,0.113015,152195,0.380487
0,23,400000,44781,0.111952,152093,0.380232
0,23.2,400000,44474,0.111185,152114,0.380285
0,23.4,400000,44921,0.112302,151896,0.37974
0,23.6,400000,44781,0.111952,152252,0.38063
0,23.8,400000,44589,0.111473,152039,0.380097
0,24,400000,45061,0.112653,152042,0.380105
0,24.2,400000,44751,0.111878,152023,0.380057
0,24.4,400000,44714,0.111785,152380,0.38095
0,24.6,400000,44606,0.111515,152129,0.380323
0,24.8,400000,44795,0.111988,151886,0.379715
0,25,400000,44626,0.111565,152411,0.381028
0,25.2,400000,45111,0.112778,152511,0.381277
0,25.4,400000,45029,0.112573,152271,0.380678
0,25.6,400000,44900,0.11225,151877,0.379692
0,25.8,400000,44656,0.11164,151832,0.37958
0,26,400000,44943,0.112357,151927,0.379817
0,26.2,400000,44796,0.11199,152038,0.380095
0,26.4,400000,45321,0.113303,152512,0.38128
0,26.6,400000,45375,0.113437,152596,0.38149
0,26.8,400000,44447,0.111117,152286,0.380715
0,27,400000,44710,0.111775,152092,0.38023
0,27.2,400000,44797,0.111992,152109,0.380273
0,27.4,400000,45191,0.112977,152465,0.381163
0,27.6,400000,45128,0.11282,152424,0.38106
0,27.8,400000,44939,0.112348,152022,0.380055
0,28,400000,44985,0.112463,152072,0.38018
0,28.2,400000,44875,0.112187,152338,0.380845
0,28.4,400000,45142,0.112855,152327,0.380817
0,28.6,400000,44765,0.111912,152112,0.38028
0,28.8,400000,44446,0.111115,152180,0.38045
0,29,400000,44815,0.112037,151757,0.379393
0,29.2,400000,44994,0.112485,152444,0.38111
0,29.4,400000,44923,0.112308,152444,0.38111
0,29.6,400000,44323,0.110808,151804,0.37951
0,29.8,400000,44559,0.111397,152090,0.380225
0,30,400000,44956,0.11239,152214,0.380535
0,30.2,400000,45179,0.112948,151832,0.37958
