x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-9.4,3.8,400000,44674,0.111685,152076,0.38019
-9.4,4,400000,44947,0.112367,152264,0.38066
-9.4,4.2,400000,44729,0.111823,152038,0.380095
-9.4,4.4,400000,45038,0.112595,152966,0.382415
-9.4,4.6,400000,44960,0.1124,152365,0.380912
-9.4,4.8,400000,44442,0.111105,151976,0.37994
-9.4,5,400000,44924,0.11231,152348,0.38087
-9.4,5.2,400000,44405,0.111013,151685,0.379213
-9.4,5.4,400000,45033,0.112583,151740,0.37935
-9.4,5.6,400000,44583,0.111458,152057,0.380142
-9.4,5.8,400000,44465,0.111162,151955,0.379887
-9.4,6,400000,44429,0.111073,152038,0.380095
-9.4,6.2,400000,44623,0.111558,151792,0.37948
-9.4,6.4,400000,45102,0.112755,152389,0.380972
-9.4,6.6,400000,44924,0.11231,152590,0.381475
-9.4,6.8,400000,44969,0.112422,152134,0.380335
-9.4,7,400000,45473,0.113683,152577,0.381443
-9.4,7.2,400000,44901,0.112253,152307,0.380767
-9.4,7.4,400000,45174,0.112935,152261,0.380653
-9.4,7.6,400000,44899,0.112248,152829,0.382072
-9.4,7.8,400000,44659,0.111647,152016,0.38004
-9.4,8,400000,44693,0.111732,151442,0.378605
-9.4,8.2,400000,44887,0.112217,152619,0.381547
-9.4,8.4,400000,45174,0.112935,152056,0.38014
-9.4,8.6,400000,45026,0.112565,152320,0.3808
-9.4,8.8,400000,44676,0.11169,152747,0.381868
-9.4,9,400000,45211,0.113028,152675,0.381688
-9.4,9.2,400000,44943,0.112357,152116,0.38029
-9.4,9.4,400000,44735,0.111838,151833,0.379582
-9.4,9.6,400000,45173,0.112933,152422,0.381055
-9.4,9.8,400000,44766,0.111915,151881,0.379702
-9.4,10,400000,45014,0.112535,151925,0.379812
-9.4,10.2,400000,44354,0.110885,151638,0.379095
-9.4,10.4,400000,44710,0.111775,151743,0.379358
-9.4,10.6,400000,44879,0.112198,151999,0.379997
-9.4,10.8,400000,44624,0.11156,151979,0.379947
-9.4,11,400000,44979,0.112448,152192,0.38048
-9.4,11.2,400000,45231,0.113077,152161,0.380402
-9.4,11.4,400000,44648,0.11162,151820,0.37955
-9.4,11.6,400000,44847,0.112117,152345,0.380862
-9.4,11.8,400000,44674,0.111685,151787,0.379468
-9.4,12,400000,44573,0.111433,152296,0.38074
-9.4,12.2,400000,45495,0.113738,152321,0.380802
-9.4,12.4,400000,44922,0.112305,152318,0.380795
-9.4,12.6,400000,44599,0.111497,151878,0.379695
-9.4,12.8,400000,44309,0.110772,151893,0.379732
-9.4,13,400000,45243,0.113107,152181,0.380453
-9.4,13.2,400000,44572,0.11143,151733,0.379333
-9.4,13.4,400000,45282,0.113205,152500,0.38125
-9.4,13.6,400000,44905,0.112263,152550,0.381375
-9.4,13.8,400000,45024,0.11256,151982,0.379955
-9.4,14,400000,44896,0.11224,152103,0.380258
-9.4,14.2,400000,44680,0.1117,151990,0.379975
-9.4,14.4,400000,44651,0.111628,152058,0.380145
-9.4,14.6,400000,44400,0.111,152099,0.380248
-9.4,14.8,400000,44583,0.111458,151552,0.37888
-9.4,15,400000,44861,0.112153,152267,0.380667
-9.4,15.2,400000,44667,0.111668,152518,0.381295
-9.4,15.4,400000,45129,0.112823,152330,0.380825
-9.4,15.6,400000,44662,0.111655,151735,0.379337
-9.4,15.8,400000,44333,0.110833,151969,0.379922
-9.4,16,400000,45326,0.113315,152499,0.381248
-9.4,16.2,400000,44598,0.111495,152681,0.381703
-9.4,16.4,400000,45070,0.112675,151633,0.379082
-9.4,16.6,400000,44732,0.11183,152441,0.381103
-9.4,16.8,400000,44889,0.112223,151907,0.379767
-9.4,17,400000,44432,0.11108,152034,0.380085
-9.4,17.2,400000,44340,0.11085,152050,0.380125
-9.4,17.4,400000,44643,0.111607,151715,0.379287
-9.4,17.6,400000,44583,0.111458,151577,0.378943
-9.4,17.8,400000,44864,0.11216,152154,0.380385
-9.4,18,400000,44742,0.111855,152258,0.380645
-9.4,18.2,400000,44886,0.112215,152049,0.380122
-9.4,18.4,400000,44708,0.11177,152304,0.38076
-9.4,18.6,400000,45322,0.113305,152998,0.382495
-9.4,18.8,400000,44889,0.112223,151810,0.379525
-9.4,19,400000,44691,0.111727,152398,0.380995
-9.4,19.2,400000,44943,0.112357,152283,0.380707
-9.4,19.4,400000,44107,0.110268,151789,0.379472
-9.4,19.6,400000,44400,0.111,151893,0.379732
-9.4,19.8,400000,44702,0.111755,151809,0.379522
-9.4,20,400000,45012,0.11253,152596,0.38149
-9.4,20.2,400000,44553,0.111382,152200,0.3805
-9.4,20.4,400000,44709,0.111772,152000,0.38
-9.4,20.6,400000,44839,0.112098,152429,0.381072
-9.4,20.8,400000,44755,0.111888,152291,0.380727
