x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
5,16,0,100000,19,0.00019,69,0.00069
5,16,1,100000,54,0.00054,76,0.00076
5,16,2,100000,45,0.00045,88,0.00088
5,16,3,100000,33,0.00033,86,0.00086
5,16,4,100000,42,0.00042,74,0.00074
5,16,5,100000,30,0.0003,73,0.00073
5,17,0,100000,23,0.00023,86,0.00086
5,17,1,100000,30,0.0003,73,0.00073
5,17,2,100000,42,0.00042,97,0.00097
5,17,3,100000,35,0.00035,78,0.00078
5,17,4,100000,45,0.00045,75,0.00075
5,17,5,100000,25,0.00025,74,0.00074
5,18,0,100000,41,0.00041,77,0.00077
5,18,1,100000,26,0.00026,71,0.00071
5,18,2,100000,52,0.00052,94,0.00094
5,18,3,100000,23,0.00023,59,0.00059
5,18,4,100000,25,0.00025,81,0.00081
5,18,5,100000,17,0.00017,78,0.00078
5,19,0,100000,33,0.00033,88,0.00088
5,19,1,100000,39,0.00039,91,0.00091
5,19,2,100000,16,0.00016,71,0.00071
5,19,3,100000,49,0.00049,76,0.00076
5,19,4,100000,32,0.00032,82,0.00082
5,19,5,100000,32,0.00032,70,0.0007
5,20,0,100000,23,0.00023,85,0.00085
5,20,1,100000,38,0.00038,81,0.00081
5,20,2,100000,34,0.00034,79,0.00079
5,20,3,100000,27,0.00027,69,0.00069
5,20,4,100000,9,9e-05,61,0.00061
5,20,5,100000,26,0.00026,78,0.00078
5,21,0,100000,29,0.00029,69,0.00069
5,21,1,100000,35,0.00035,80,0.0008
5,21,2,100000,25,0.00025,79,0.00079
5,21,3,100000,34,0.00034,79,0.00079
5,21,4,100000,34,0.00034,81,0.00081
5,21,5,100000,30,0.0003,70,0.0007
5,22,0,100000,30,0.0003,67,0.00067
5,22,1,100000,22,0.00022,81,0.00081
5,22,2,100000,25,0.00025,88,0.00088
5,22,3,100000,16,0.00016,61,0.00061
5,22,4,100000,36,0.00036,76,0.00076
5,22,5,100000,28,0.00028,63,0.00063
5,23,0,100000,23,0.00023,80,0.0008
5,23,1,100000,32,0.00032,78,0.00078
5,23,2,100000,24,0.00024,74,0.00074
5,23,3,100000,28,0.00028,68,0.00068
5,23,4,100000,43,0.00043,76,0.00076
5,23,5,100000,29,0.00029,71,0.00071
5,24,0,100000,39,0.00039,83,0.00083
5,24,1,100000,43,0.00043,67,0.00067
5,24,2,100000,25,0.00025,69,0.00069
5,24,3,100000,39,0.00039,76,0.00076
5,24,4,100000,18,0.00018,69,0.00069
5,24,5,100000,32,0.00032,81,0.00081
5,25,0,100000,31,0.00031,80,0.0008
5,25,1,100000,21,0.00021,66,0.00066
5,25,2,100000,23,0.00023,73,0.00073
5,25,3,100000,43,0.00043,92,0.00092
5,25,4,100000,37,0.00037,92,0.00092
5,25,5,100000,34,0.00034,70,0.0007
5,26,0,100000,34,0.00034,94,0.00094
5,26,1,100000,33,0.00033,88,0.00088
5,26,2,100000,36,0.00036,80,0.0008
5,26,3,100000,40,0.0004,108,0.00108
5,26,4,100000,18,0.00018,64,0.00064
5,26,5,100000,49,0.00049,82,0.00082
5,27,0,100000,47,0.00047,81,0.00081
5,27,1,100000,40,0.0004,85,0.00085
5,27,2,100000,27,0.00027,65,0.00065
5,27,3,100000,41,0.00041,85,0.00085
5,27,4,100000,25,0.00025,80,0.0008
5,27,5,100000,26,0.00026,67,0.00067
5,28,0,100000,42,0.00042,89,0.00089
5,28,1,100000,28,0.00028,78,0.00078
5,28,2,100000,19,0.00019,64,0.00064
5,28,3,100000,27,0.00027,78,0.00078
5,28,4,100000,54,0.00054,74,0.00074
5,28,5,100000,29,0.00029,76,0.00076
5,29,0,100000,29,0.00029,67,0.00067
5,29,1,100000,26,0.00026,72,0.00072
5,29,2,100000,23,0.00023,90,0.0009
5,29,3,100000,22,0.00022,72,0.00072
5,29,4,100000,20,0.0002,66,0.00066
5,29,5,100000,28,0.00028,75,0.00075
5,30,0,100000,60,0.0006,80,0.0008
5,30,1,100000,57,0.00057,81,0.00081
5,30,2,100000,33,0.00033,87,0.00087
5,30,3,100000,24,0.00024,75,0.00075
5,30,4,100000,28,0.00028,73,0.00073
5,30,5,100000,42,0.00042,77,0.00077
5,31,0,100000,29,0.00029,67,0.00067
5,31,1,100000,24,0.00024,68,0.00068
5,31,2,100000,33,0.00033,94,0.00094
5,31,3,100000,17,0.00017,68,0.00068
5,31,4,100000,27,0.00027,78,0.00078
5,31,5,100000,42,0.00042,77,0.00077
5,32,0,100000,38,0.00038,80,0.0008
5,32,1,100000,35,0.00035,70,0.0007
5,32,2,100000,15,0.00015,80,0.0008
5,32,3,100000,28,0.00028,72,0.00072
5,32,4,100000,46,0.00046,92,0.00092
5,32,5,100000,51,0.00051,89,0.00089
5,33,0,100000,17,0.00017,64,0.00064
5,33,1,100000,36,0.00036,78,0.00078
5,33,2,100000,33,0.00033,75,0.00075
5,33,3,100000,18,0.00018,72,0.00072
5,33,4,100000,31,0.00031,73,0.00073
5,33,5,100000,20,0.0002,79,0.00079
5,34,0,100000,47,0.00047,81,0.00081
5,34,1,100000,26,0.00026,61,0.00061
5,34,2,100000,20,0.0002,75,0.00075
5,34,3,100000,40,0.0004,75,0.00075
5,34,4,100000,32,0.00032,72,0.00072
5,34,5,100000,30,0.0003,75,0.00075
5,35,0,100000,26,0.00026,71,0.00071
5,35,1,100000,39,0.00039,76,0.00076
5,35,2,100000,16,0.00016,69,0.00069
5,35,3,100000,26,0.00026,67,0.00067
5,35,4,100000,25,0.00025,68,0.00068
5,35,5,100000,32,0.00032,74,0.00074
5,36,0,100000,17,0.00017,73,0.00073
5,36,1,100000,22,0.00022,72,0.00072
5,36,2,100000,30,0.0003,69,0.00069
5,36,3,100000,26,0.00026,75,0.00075
5,36,4,100000,27,0.00027,73,0.00073
5,36,5,100000,36,0.00036,67,0.00067
5,37,0,100000,40,0.0004,90,0.0009
5,37,1,100000,29,0.00029,77,0.00077
5,37,2,100000,30,0.0003,75,0.00075
5,37,3,100000,29,0.00029,83,0.00083
5,37,4,100000,23,0.00023,77,0.00077
5,37,5,100000,22,0.00022,76,0.00076
5,38,0,100000,23,0.00023,75,0.00075
5,38,1,100000,23,0.00023,67,0.00067
5,38,2,100000,26,0.00026,74,0.00074
5,38,3,100000,19,0.00019,78,0.00078
5,38,4,100000,35,0.00035,68,0.00068
5,38,5,100000,32,0.00032,67,0.00067
5,39,0,100000,36,0.00036,81,0.00081
5,39,1,100000,32,0.00032,79,0.00079
5,39,2,100000,18,0.00018,65,0.00065
5,39,3,100000,20,0.0002,61,0.00061
5,39,4,100000,32,0.00032,74,0.00074
5,39,5,100000,40,0.0004,75,0.00075
5,40,0,100000,32,0.00032,84,0.00084
5,40,1,100000,32,0.00032,75,0.00075
5,40,2,100000,57,0.00057,86,0.00086
5,40,3,100000,25,0.00025,72,0.00072
5,40,4,100000,21,0.00021,69,0.00069
5,40,5,100000,25,0.00025,80,0.0008
5,41,0,100000,37,0.00037,78,0.00078
5,41,1,100000,19,0.00019,63,0.00063
5,41,2,100000,21,0.00021,63,0.00063
5,41,3,100000,23,0.00023,73,0.00073
