x,y,detectorID,nPrimary,roiCounts,normalizedCounts
1.02041,-21.4286,0,400000,13,3.25e-05
1.02041,-21.4286,1,400000,33,8.25e-05
1.02041,-21.4286,2,400000,40,0.0001
1.02041,-21.4286,3,400000,18,4.5e-05
1.02041,-21.4286,4,400000,40894,0.102235
1.02041,-21.4286,5,400000,137535,0.343838
1.02041,-19.3878,0,400000,17,4.25e-05
1.02041,-19.3878,1,400000,91,0.0002275
1.02041,-19.3878,2,400000,211,0.0005275
1.02041,-19.3878,3,400000,36,9e-05
1.02041,-19.3878,4,400000,32982,0.082455
1.02041,-19.3878,5,400000,175342,0.438355
1.02041,-17.3469,0,400000,95,0.0002375
1.02041,-17.3469,1,400000,261,0.0006525
1.02041,-17.3469,2,400000,722,0.001805
1.02041,-17.3469,3,400000,80,0.0002
1.02041,-17.3469,4,400000,31826,0.079565
1.02041,-17.3469,5,400000,182812,0.45703
1.02041,-15.3061,0,400000,146,0.000365
1.02041,-15.3061,1,400000,770,0.001925
1.02041,-15.3061,2,400000,1854,0.004635
1.02041,-15.3061,3,400000,673,0.0016825
1.02041,-15.3061,4,400000,33021,0.0825525
1.02041,-15.3061,5,400000,176350,0.440875
1.02041,-13.2653,0,400000,419,0.0010475
1.02041,-13.2653,1,400000,2718,0.006795
1.02041,-13.2653,2,400000,4164,0.01041
1.02041,-13.2653,3,400000,3364,0.00841
1.02041,-13.2653,4,400000,40658,0.101645
1.02041,-13.2653,5,400000,140144,0.35036
1.02041,-11.2245,0,400000,46,0.000115
1.02041,-11.2245,1,400000,28,7e-05
1.02041,-11.2245,2,400000,33,8.25e-05
1.02041,-11.2245,3,400000,27,6.75e-05
1.02041,-11.2245,4,400000,130,0.000325
1.02041,-11.2245,5,400000,246,0.000615
1.02041,-9.18367,0,400000,35,8.75e-05
1.02041,-9.18367,1,400000,31,7.75e-05
1.02041,-9.18367,2,400000,22,5.5e-05
1.02041,-9.18367,3,400000,41,0.0001025
1.02041,-9.18367,4,400000,127,0.0003175
1.02041,-9.18367,5,400000,144,0.00036
1.02041,-7.14286,0,400000,39,9.75e-05
1.02041,-7.14286,1,400000,38,9.5e-05
1.02041,-7.14286,2,400000,28,7e-05
1.02041,-7.14286,3,400000,44,0.00011
1.02041,-7.14286,4,400000,93,0.0002325
1.02041,-7.14286,5,400000,86,0.000215
1.02041,-5.10204,0,400000,39,9.75e-05
1.02041,-5.10204,1,400000,31,7.75e-05
1.02041,-5.10204,2,400000,27,6.75e-05
1.02041,-5.10204,3,400000,44,0.00011
1.02041,-5.10204,4,400000,76,0.00019
1.02041,-5.10204,5,400000,73,0.0001825
1.02041,-3.06122,0,400000,39,9.75e-05
1.02041,-3.06122,1,400000,53,0.0001325
1.02041,-3.06122,2,400000,49,0.0001225
1.02041,-3.06122,3,400000,48,0.00012
1.02041,-3.06122,4,400000,60,0.00015
1.02041,-3.06122,5,400000,85,0.0002125
1.02041,-1.02041,0,400000,46,0.000115
1.02041,-1.02041,1,400000,46,0.000115
1.02041,-1.02041,2,400000,28,7e-05
1.02041,-1.02041,3,400000,43,0.0001075
1.02041,-1.02041,4,400000,44,0.00011
1.02041,-1.02041,5,400000,59,0.0001475
1.02041,1.02041,0,400000,43,0.0001075
1.02041,1.02041,1,400000,60,0.00015
1.02041,1.02041,2,400000,50,0.000125
1.02041,1.02041,3,400000,52,0.00013
1.02041,1.02041,4,400000,36,9e-05
1.02041,1.02041,5,400000,47,0.0001175
1.02041,3.06122,0,400000,51,0.0001275
1.02041,3.06122,1,400000,62,0.000155
1.02041,3.06122,2,400000,74,0.000185
1.02041,3.06122,3,400000,35,8.75e-05
1.02041,3.06122,4,400000,34,8.5e-05
1.02041,3.06122,5,400000,47,0.0001175
1.02041,5.10204,0,400000,40,0.0001
1.02041,5.10204,1,400000,82,0.000205
1.02041,5.10204,2,400000,56,0.00014
1.02041,5.10204,3,400000,31,7.75e-05
