x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
43.8,20.2,400000,44788,0.11197,151726,0.379315
43.8,20.4,400000,45064,0.11266,152188,0.38047
43.8,20.6,400000,44325,0.110812,151916,0.37979
43.8,20.8,400000,45052,0.11263,152787,0.381968
43.8,21,400000,44593,0.111482,151972,0.37993
43.8,21.2,400000,44497,0.111242,151868,0.37967
43.8,21.4,400000,44678,0.111695,152107,0.380267
43.8,21.6,400000,44546,0.111365,151395,0.378487
43.8,21.8,400000,44898,0.112245,151370,0.378425
43.8,22,400000,44642,0.111605,152059,0.380148
43.8,22.2,400000,44500,0.11125,151921,0.379802
43.8,22.4,400000,44494,0.111235,152275,0.380688
43.8,22.6,400000,44872,0.11218,151722,0.379305
43.8,22.8,400000,44770,0.111925,152177,0.380443
43.8,23,400000,44986,0.112465,152474,0.381185
43.8,23.2,400000,44945,0.112363,151996,0.37999
43.8,23.4,400000,45331,0.113327,152595,0.381487
43.8,23.6,400000,44800,0.112,152205,0.380512
43.8,23.8,400000,44956,0.11239,152353,0.380883
43.8,24,400000,44864,0.11216,152922,0.382305
43.8,24.2,400000,44986,0.112465,152198,0.380495
43.8,24.4,400000,44490,0.111225,151579,0.378947
43.8,24.6,400000,44916,0.11229,152346,0.380865
43.8,24.8,400000,44755,0.111888,151959,0.379897
43.8,25,400000,45198,0.112995,152254,0.380635
43.8,25.2,400000,44647,0.111617,152499,0.381248
43.8,25.4,400000,45359,0.113397,152538,0.381345
43.8,25.6,400000,44988,0.11247,151843,0.379607
43.8,25.8,400000,44623,0.111558,151831,0.379578
43.8,26,400000,44868,0.11217,152032,0.38008
43.8,26.2,400000,44351,0.110878,151459,0.378648
43.8,26.4,400000,44941,0.112352,151909,0.379773
43.8,26.6,400000,44207,0.110518,151530,0.378825
43.8,26.8,400000,44752,0.11188,151670,0.379175
43.8,27,400000,45043,0.112607,152168,0.38042
43.8,27.2,400000,44874,0.112185,151675,0.379188
43.8,27.4,400000,44813,0.112032,152305,0.380763
43.8,27.6,400000,45134,0.112835,151864,0.37966
43.8,27.8,400000,44837,0.112092,151588,0.37897
43.8,28,400000,44801,0.112003,152225,0.380563
43.8,28.2,400000,44668,0.11167,152042,0.380105
43.8,28.4,400000,44521,0.111302,152349,0.380873
43.8,28.6,400000,45337,0.113342,151467,0.378667
43.8,28.8,400000,45117,0.112793,152056,0.38014
43.8,29,400000,44727,0.111818,151830,0.379575
43.8,29.2,400000,44512,0.11128,151249,0.378122
43.8,29.4,400000,45043,0.112607,152356,0.38089
43.8,29.6,400000,44335,0.110838,151433,0.378582
43.8,29.8,400000,44614,0.111535,152145,0.380362
43.8,30,400000,45137,0.112842,152453,0.381132
43.8,30.2,400000,44991,0.112477,152158,0.380395
43.8,30.4,400000,44810,0.112025,152012,0.38003
43.8,30.6,400000,44721,0.111802,151858,0.379645
43.8,30.8,400000,44694,0.111735,152061,0.380153
43.8,31,400000,44599,0.111497,152226,0.380565
43.8,31.2,400000,44389,0.110973,151929,0.379823
43.8,31.4,400000,44986,0.112465,152229,0.380572
43.8,31.6,400000,45198,0.112995,152688,0.38172
43.8,31.8,400000,45156,0.11289,151955,0.379887
43.8,32,400000,44737,0.111842,151934,0.379835
43.8,32.2,400000,44019,0.110048,152154,0.380385
43.8,32.4,400000,45401,0.113503,152491,0.381227
43.8,32.6,400000,44548,0.11137,152190,0.380475
43.8,32.8,400000,44704,0.11176,151820,0.37955
43.8,33,400000,44412,0.11103,151279,0.378198
43.8,33.2,400000,44936,0.11234,152297,0.380742
43.8,33.4,400000,44224,0.11056,151703,0.379258
43.8,33.6,400000,44338,0.110845,151751,0.379377
43.8,33.8,400000,44636,0.11159,151804,0.37951
43.8,34,400000,44190,0.110475,151382,0.378455
43.8,34.2,400000,44833,0.112083,152100,0.38025
43.8,34.4,400000,44756,0.11189,152044,0.38011
43.8,34.6,400000,44746,0.111865,152192,0.38048
43.8,34.8,400000,44844,0.11211,151958,0.379895
43.8,35,400000,45088,0.11272,152735,0.381837
43.8,35.2,400000,44749,0.111872,151910,0.379775
43.8,35.4,400000,44665,0.111662,152534,0.381335
43.8,35.6,400000,44969,0.112422,152289,0.380723
43.8,35.8,400000,44571,0.111427,152069,0.380173
43.8,36,400000,44340,0.11085,151711,0.379277
