x,y,detectorID,nPrimary,roiCounts,normalizedCounts
-50,-50,0,400000,4,1e-05
-50,-50,1,400000,1,2.5e-06
-50,-50,2,400000,3,7.5e-06
-50,-50,3,400000,6,1.5e-05
-50,-50,4,400000,9,2.25e-05
-50,-50,5,400000,7,1.75e-05
-50,-47.9592,0,400000,2,5e-06
-50,-47.9592,1,400000,8,2e-05
-50,-47.9592,2,400000,0,0
-50,-47.9592,3,400000,20,5e-05
-50,-47.9592,4,400000,17,4.25e-05
-50,-47.9592,5,400000,7,1.75e-05
-50,-45.9184,0,400000,3,7.5e-06
-50,-45.9184,1,400000,1,2.5e-06
-50,-45.9184,2,400000,1,2.5e-06
-50,-45.9184,3,400000,3,7.5e-06
-50,-45.9184,4,400000,12,3e-05
-50,-45.9184,5,400000,1,2.5e-06
-50,-43.8776,0,400000,5,1.25e-05
-50,-43.8776,1,400000,5,1.25e-05
-50,-43.8776,2,400000,5,1.25e-05
-50,-43.8776,3,400000,14,3.5e-05
-50,-43.8776,4,400000,11,2.75e-05
-50,-43.8776,5,400000,7,1.75e-05
-50,-41.8367,0,400000,3,7.5e-06
-50,-41.8367,1,400000,0,0
-50,-41.8367,2,400000,0,0
-50,-41.8367,3,400000,17,4.25e-05
-50,-41.8367,4,400000,13,3.25e-05
-50,-41.8367,5,400000,6,1.5e-05
-50,-39.7959,0,400000,6,1.5e-05
-50,-39.7959,1,400000,0,0
-50,-39.7959,2,400000,0,0
-50,-39.7959,3,400000,9,2.25e-05
-50,-39.7959,4,400000,20,5e-05
-50,-39.7959,5,400000,5,1.25e-05
-50,-37.7551,0,400000,1,2.5e-06
-50,-37.7551,1,400000,2,5e-06
-50,-37.7551,2,400000,3,7.5e-06
-50,-37.7551,3,400000,8,2e-05
-50,-37.7551,4,400000,16,4e-05
-50,-37.7551,5,400000,16,4e-05
-50,-35.7143,0,400000,4,1e-05
-50,-35.7143,1,400000,0,0
-50,-35.7143,2,400000,4,1e-05
-50,-35.7143,3,400000,11,2.75e-05
-50,-35.7143,4,400000,25,6.25e-05
-50,-35.7143,5,400000,7,1.75e-05
-50,-33.6735,0,400000,3,7.5e-06
-50,-33.6735,1,400000,3,7.5e-06
-50,-33.6735,2,400000,3,7.5e-06
-50,-33.6735,3,400000,13,3.25e-05
-50,-33.6735,4,400000,20,5e-05
-50,-33.6735,5,400000,5,1.25e-05
-50,-31.6327,0,400000,3,7.5e-06
-50,-31.6327,1,400000,2,5e-06
-50,-31.6327,2,400000,2,5e-06
-50,-31.6327,3,400000,12,3e-05
-50,-31.6327,4,400000,24,6e-05
-50,-31.6327,5,400000,9,2.25e-05
-50,-29.5918,0,400000,3,7.5e-06
-50,-29.5918,1,400000,4,1e-05
-50,-29.5918,2,400000,1,2.5e-06
-50,-29.5918,3,400000,18,4.5e-05
-50,-29.5918,4,400000,22,5.5e-05
-50,-29.5918,5,400000,2,5e-06
-50,-27.551,0,400000,3,7.5e-06
-50,-27.551,1,400000,7,1.75e-05
-50,-27.551,2,400000,0,0
-50,-27.551,3,400000,14,3.5e-05
-50,-27.551,4,400000,25,6.25e-05
-50,-27.551,5,400000,4,1e-05
-50,-25.5102,0,400000,4,1e-05
-50,-25.5102,1,400000,1,2.5e-06
-50,-25.5102,2,400000,1,2.5e-06
-50,-25.5102,3,400000,17,4.25e-05
-50,-25.5102,4,400000,22,5.5e-05
-50,-25.5102,5,400000,5,1.25e-05
-50,-23.4694,0,400000,6,1.5e-05
-50,-23.4694,1,400000,5,1.25e-05
-50,-23.4694,2,400000,7,1.75e-05
-50,-23.4694,3,400000,30,7.5e-05
-50,-23.4694,4,400000,13,3.25e-05
