x,y,detectorID,nPrimary,roiCounts,normalizedCounts
-27.551,-43.8776,0,400000,4,1e-05
-27.551,-43.8776,1,400000,7,1.75e-05
-27.551,-43.8776,2,400000,1,2.5e-06
-27.551,-43.8776,3,400000,20,5e-05
-27.551,-43.8776,4,400000,13,3.25e-05
-27.551,-43.8776,5,400000,8,2e-05
-27.551,-41.8367,0,400000,5,1.25e-05
-27.551,-41.8367,1,400000,3,7.5e-06
-27.551,-41.8367,2,400000,7,1.75e-05
-27.551,-41.8367,3,400000,18,4.5e-05
-27.551,-41.8367,4,400000,31,7.75e-05
-27.551,-41.8367,5,400000,20,5e-05
-27.551,-39.7959,0,400000,4,1e-05
-27.551,-39.7959,1,400000,0,0
-27.551,-39.7959,2,400000,7,1.75e-05
-27.551,-39.7959,3,400000,16,4e-05
-27.551,-39.7959,4,400000,32,8e-05
-27.551,-39.7959,5,400000,17,4.25e-05
-27.551,-37.7551,0,400000,1,2.5e-06
-27.551,-37.7551,1,400000,3,7.5e-06
-27.551,-37.7551,2,400000,3,7.5e-06
-27.551,-37.7551,3,400000,27,6.75e-05
-27.551,-37.7551,4,400000,33,8.25e-05
-27.551,-37.7551,5,400000,11,2.75e-05
-27.551,-35.7143,0,400000,3,7.5e-06
-27.551,-35.7143,1,400000,4,1e-05
-27.551,-35.7143,2,400000,3,7.5e-06
-27.551,-35.7143,3,400000,25,6.25e-05
-27.551,-35.7143,4,400000,34,8.5e-05
-27.551,-35.7143,5,400000,8,2e-05
-27.551,-33.6735,0,400000,4,1e-05
-27.551,-33.6735,1,400000,4,1e-05
-27.551,-33.6735,2,400000,3,7.5e-06
-27.551,-33.6735,3,400000,25,6.25e-05
-27.551,-33.6735,4,400000,47,0.0001175
-27.551,-33.6735,5,400000,14,3.5e-05
-27.551,-31.6327,0,400000,7,1.75e-05
-27.551,-31.6327,1,400000,3,7.5e-06
-27.551,-31.6327,2,400000,5,1.25e-05
-27.551,-31.6327,3,400000,21,5.25e-05
-27.551,-31.6327,4,400000,38,9.5e-05
-27.551,-31.6327,5,400000,17,4.25e-05
-27.551,-29.5918,0,400000,3,7.5e-06
-27.551,-29.5918,1,400000,11,2.75e-05
-27.551,-29.5918,2,400000,8,2e-05
-27.551,-29.5918,3,400000,26,6.5e-05
-27.551,-29.5918,4,400000,37,9.25e-05
-27.551,-29.5918,5,400000,10,2.5e-05
-27.551,-27.551,0,400000,6,1.5e-05
-27.551,-27.551,1,400000,8,2e-05
-27.551,-27.551,2,400000,5,1.25e-05
-27.551,-27.551,3,400000,19,4.75e-05
-27.551,-27.551,4,400000,44,0.00011
-27.551,-27.551,5,400000,19,4.75e-05
-27.551,-25.5102,0,400000,2,5e-06
-27.551,-25.5102,1,400000,4,1e-05
-27.551,-25.5102,2,400000,6,1.5e-05
-27.551,-25.5102,3,400000,27,6.75e-05
-27.551,-25.5102,4,400000,52,0.00013
-27.551,-25.5102,5,400000,6,1.5e-05
-27.551,-23.4694,0,400000,5,1.25e-05
-27.551,-23.4694,1,400000,8,2e-05
-27.551,-23.4694,2,400000,9,2.25e-05
-27.551,-23.4694,3,400000,38,9.5e-05
-27.551,-23.4694,4,400000,53,0.0001325
-27.551,-23.4694,5,400000,19,4.75e-05
-27.551,-21.4286,0,400000,7,1.75e-05
-27.551,-21.4286,1,400000,5,1.25e-05
-27.551,-21.4286,2,400000,3,7.5e-06
-27.551,-21.4286,3,400000,44,0.00011
-27.551,-21.4286,4,400000,53,0.0001325
-27.551,-21.4286,5,400000,12,3e-05
-27.551,-19.3878,0,400000,8,2e-05
-27.551,-19.3878,1,400000,12,3e-05
-27.551,-19.3878,2,400000,12,3e-05
-27.551,-19.3878,3,400000,66,0.000165
-27.551,-19.3878,4,400000,78,0.000195
-27.551,-19.3878,5,400000,2,5e-06
-27.551,-17.3469,0,400000,5,1.25e-05
-27.551,-17.3469,1,400000,8,2e-05
-27.551,-17.3469,2,400000,15,3.75e-05
-27.551,-17.3469,3,400000,57,0.0001425
-27.551,-17.3469,4,400000,45,0.0001125
-27.551,-17.3469,5,400000,5,1.25e-05
-27.551,-15.3061,0,400000,16,4e-05
-27.551,-15.3061,1,400000,10,2.5e-05
-27.551,-15.3061,2,400000,5,1.25e-05
-27.551,-15.3061,3,400000,65,0.0001625
-27.551,-15.3061,4,400000,54,0.000135
-27.551,-15.3061,5,400000,13,3.25e-05
-27.551,-13.2653,0,400000,10,2.5e-05
-27.551,-13.2653,1,400000,6,1.5e-05
-27.551,-13.2653,2,400000,11,2.75e-05
