x,y,roiCounts,normalizedCounts,flux,normalizedFlux,nPrimary
-47.9592,41.8367,577,0.00577,957,0.00957,600000
-47.9592,43.8776,544,0.0054399999999999995,897,0.00897,600000
-47.9592,45.9184,502,0.00502,889,0.00889,600000
-47.9592,47.9592,499,0.00499,831,0.00831,600000
-47.9592,50.0,485,0.00485,871,0.00871,600000
-45.9184,-50.0,555,0.00555,882,0.00882,600000
-45.9184,-47.9592,556,0.00556,862,0.00862,600000
-45.9184,-45.9184,542,0.0054199999999999995,940,0.0094,600000
-45.9184,-43.8776,479,0.00479,863,0.00863,600000
-45.9184,-41.8367,521,0.00521,875,0.00875,600000
-45.9184,-39.7959,501,0.0050100000000000006,805,0.00805,600000
-45.9184,-37.7551,540,0.0054,871,0.00871,600000
-45.9184,-35.7143,549,0.00549,861,0.00861,600000
-45.9184,-33.6735,586,0.005860000000000001,901,0.00901,600000
-45.9184,-31.6327,618,0.00618,980,0.0098,600000
-45.9184,-29.5918,519,0.00519,846,0.00846,600000
-45.9184,-27.551,442,0.00442,857,0.00857,600000
-45.9184,-25.5102,569,0.00569,902,0.00902,600000
-45.9184,-23.4694,538,0.00538,893,0.00893,600000
-45.9184,-21.4286,560,0.0056,928,0.00928,600000
-45.9184,-19.3878,506,0.00506,841,0.00841,600000
-45.9184,-17.3469,499,0.00499,864,0.00864,600000
-45.9184,-15.3061,552,0.00552,817,0.00817,600000
-45.9184,-13.2653,519,0.00519,856,0.00856,600000
-45.9184,-11.2245,508,0.00508,922,0.009219999999999999,600000
-45.9184,-9.18367,524,0.00524,823,0.00823,600000
-45.9184,-7.14286,539,0.00539,850,0.0085,600000
-45.9184,-5.10204,532,0.00532,891,0.00891,600000
-45.9184,-3.06122,520,0.0052,891,0.00891,600000
-45.9184,-1.02041,627,0.00627,929,0.00929,600000
-45.9184,1.02041,553,0.00553,949,0.00949,600000
-45.9184,3.06122,584,0.00584,926,0.009260000000000001,600000
-45.9184,5.10204,445,0.00445,799,0.00799,600000
-45.9184,7.14286,580,0.0058,882,0.00882,600000
-45.9184,9.18367,554,0.00554,885,0.00885,600000
-45.9184,11.2245,526,0.00526,805,0.00805,600000
-45.9184,13.2653,534,0.00534,901,0.00901,600000
