x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-18.8,6.8,400000,44884,0.11221,152307,0.380767
-18.8,7,400000,44992,0.11248,152285,0.380713
-18.8,7.2,400000,44603,0.111507,151948,0.37987
-18.8,7.4,400000,45212,0.11303,153104,0.38276
-18.8,7.6,400000,44877,0.112193,152099,0.380248
-18.8,7.8,400000,44630,0.111575,151991,0.379978
-18.8,8,400000,44851,0.112128,152218,0.380545
-18.8,8.2,400000,44520,0.1113,151626,0.379065
-18.8,8.4,400000,45024,0.11256,151849,0.379622
-18.8,8.6,400000,44679,0.111698,152317,0.380792
-18.8,8.8,400000,44327,0.110817,151743,0.379358
-18.8,9,400000,44607,0.111518,152309,0.380773
-18.8,9.2,400000,44616,0.11154,151512,0.37878
-18.8,9.4,400000,45189,0.112973,152408,0.38102
-18.8,9.6,400000,44778,0.111945,152730,0.381825
-18.8,9.8,400000,44968,0.11242,152240,0.3806
-18.8,10,400000,45316,0.11329,152595,0.381487
-18.8,10.2,400000,45117,0.112793,152362,0.380905
-18.8,10.4,400000,45088,0.11272,152134,0.380335
-18.8,10.6,400000,44781,0.111952,152575,0.381437
-18.8,10.8,400000,44721,0.111802,152219,0.380547
-18.8,11,400000,44551,0.111378,151545,0.378862
-18.8,11.2,400000,44894,0.112235,152815,0.382037
-18.8,11.4,400000,45164,0.11291,151995,0.379987
-18.8,11.6,400000,45058,0.112645,152087,0.380217
-18.8,11.8,400000,44621,0.111552,152439,0.381097
-18.8,12,400000,44974,0.112435,152452,0.38113
-18.8,12.2,400000,45149,0.112873,152003,0.380007
-18.8,12.4,400000,44903,0.112257,151998,0.379995
-18.8,12.6,400000,45102,0.112755,152194,0.380485
-18.8,12.8,400000,44898,0.112245,151902,0.379755
-18.8,13,400000,44800,0.112,151686,0.379215
-18.8,13.2,400000,44345,0.110863,151553,0.378883
-18.8,13.4,400000,44491,0.111228,151491,0.378727
-18.8,13.6,400000,44907,0.112268,151785,0.379462
-18.8,13.8,400000,44413,0.111033,151564,0.37891
-18.8,14,400000,44993,0.112482,152337,0.380842
-18.8,14.2,400000,45213,0.113032,151950,0.379875
-18.8,14.4,400000,44710,0.111775,152006,0.380015
-18.8,14.6,400000,45038,0.112595,152499,0.381248
-18.8,14.8,400000,44359,0.110897,151765,0.379412
-18.8,15,400000,44643,0.111607,152342,0.380855
-18.8,15.2,400000,45441,0.113602,152189,0.380472
-18.8,15.4,400000,44966,0.112415,152143,0.380358
-18.8,15.6,400000,44679,0.111698,152038,0.380095
-18.8,15.8,400000,44447,0.111117,151425,0.378563
-18.8,16,400000,45018,0.112545,152028,0.38007
-18.8,16.2,400000,44755,0.111888,151954,0.379885
-18.8,16.4,400000,45252,0.11313,152780,0.38195
-18.8,16.6,400000,44926,0.112315,152569,0.381422
-18.8,16.8,400000,45100,0.11275,152007,0.380018
-18.8,17,400000,44786,0.111965,152218,0.380545
-18.8,17.2,400000,44675,0.111687,151852,0.37963
-18.8,17.4,400000,44655,0.111638,152037,0.380092
-18.8,17.6,400000,44545,0.111363,152304,0.38076
-18.8,17.8,400000,44408,0.11102,151324,0.37831
-18.8,18,400000,44998,0.112495,152630,0.381575
-18.8,18.2,400000,45001,0.112503,152549,0.381373
-18.8,18.4,400000,45046,0.112615,152264,0.38066
-18.8,18.6,400000,44706,0.111765,151696,0.37924
-18.8,18.8,400000,44257,0.110643,151864,0.37966
-18.8,19,400000,44989,0.112473,152336,0.38084
-18.8,19.2,400000,44824,0.11206,152582,0.381455
-18.8,19.4,400000,44657,0.111643,151430,0.378575
-18.8,19.6,400000,44670,0.111675,152214,0.380535
-18.8,19.8,400000,44875,0.112187,151992,0.37998
-18.8,20,400000,44274,0.110685,152146,0.380365
-18.8,20.2,400000,44259,0.110647,151847,0.379617
