x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-25,-4,400000,44781,0.111952,152033,0.380082
-25,-3.8,400000,44518,0.111295,151703,0.379258
-25,-3.6,400000,45218,0.113045,152416,0.38104
-25,-3.4,400000,45129,0.112823,152160,0.3804
-25,-3.2,400000,44691,0.111727,152479,0.381198
-25,-3,400000,45107,0.112768,151539,0.378848
-25,-2.8,400000,45464,0.11366,152515,0.381288
-25,-2.6,400000,45500,0.11375,152230,0.380575
-25,-2.4,400000,44892,0.11223,151961,0.379902
-25,-2.2,400000,44557,0.111393,152160,0.3804
-25,-2,400000,45018,0.112545,151865,0.379663
-25,-1.8,400000,44850,0.112125,152414,0.381035
-25,-1.6,400000,44298,0.110745,151904,0.37976
-25,-1.4,400000,45229,0.113073,152288,0.38072
-25,-1.2,400000,44674,0.111685,151529,0.378823
-25,-1,400000,44679,0.111698,152319,0.380798
-25,-0.8,400000,44556,0.11139,152184,0.38046
-25,-0.6,400000,44782,0.111955,152323,0.380808
-25,-0.4,400000,44529,0.111323,152391,0.380978
-25,-0.2,400000,45238,0.113095,152638,0.381595
-25,0,400000,45165,0.112912,152223,0.380557
-25,0.2,400000,44997,0.112492,151984,0.37996
-25,0.4,400000,44634,0.111585,151839,0.379597
-25,0.6,400000,44537,0.111342,152038,0.380095
-25,0.8,400000,45189,0.112973,152338,0.380845
-25,1,400000,45173,0.112933,152264,0.38066
-25,1.2,400000,45252,0.11313,152574,0.381435
-25,1.4,400000,44814,0.112035,152487,0.381217
-25,1.6,400000,44374,0.110935,151882,0.379705
-25,1.8,400000,44853,0.112132,152004,0.38001
-25,2,400000,45186,0.112965,151913,0.379783
-25,2.2,400000,44942,0.112355,152664,0.38166
-25,2.4,400000,44987,0.112467,152264,0.38066
-25,2.6,400000,44933,0.112333,152079,0.380198
-25,2.8,400000,45050,0.112625,152376,0.38094
-25,3,400000,45249,0.113123,152674,0.381685
-25,3.2,400000,44833,0.112083,151816,0.37954
-25,3.4,400000,44296,0.11074,152189,0.380472
-25,3.6,400000,45112,0.11278,151897,0.379742
-25,3.8,400000,44970,0.112425,152319,0.380798
-25,4,400000,44773,0.111933,152601,0.381503
-25,4.2,400000,44299,0.110747,151900,0.37975
-25,4.4,400000,44476,0.11119,151705,0.379263
-25,4.6,400000,44843,0.112107,152400,0.381
-25,4.8,400000,45307,0.113267,151949,0.379873
-25,5,400000,45414,0.113535,152219,0.380547
-25,5.2,400000,44831,0.112077,152136,0.38034
-25,5.4,400000,44939,0.112348,152299,0.380748
-25,5.6,400000,44835,0.112088,152495,0.381238
-25,5.8,400000,45034,0.112585,152231,0.380578
-25,6,400000,44935,0.112338,152383,0.380958
-25,6.2,400000,44829,0.112073,151628,0.37907
-25,6.4,400000,45407,0.113517,152119,0.380298
-25,6.6,400000,44959,0.112397,152017,0.380043
-25,6.8,400000,45029,0.112573,152199,0.380497
-25,7,400000,44875,0.112187,151656,0.37914
-25,7.2,400000,44839,0.112098,151619,0.379047
-25,7.4,400000,44564,0.11141,151851,0.379628
-25,7.6,400000,44866,0.112165,152326,0.380815
-25,7.8,400000,45359,0.113397,152272,0.38068
-25,8,400000,44596,0.11149,151722,0.379305
-25,8.2,400000,44777,0.111943,151608,0.37902
-25,8.4,400000,44911,0.112278,152212,0.38053
-25,8.6,400000,45049,0.112623,152401,0.381003
-25,8.8,400000,45179,0.112948,152019,0.380047
-25,9,400000,45112,0.11278,152811,0.382028
-25,9.2,400000,45070,0.112675,151940,0.37985
-25,9.4,400000,45091,0.112727,152460,0.38115
-25,9.6,400000,45205,0.113013,152200,0.3805
-25,9.8,400000,44542,0.111355,152076,0.38019
-25,10,400000,44620,0.11155,152826,0.382065
-25,10.2,400000,44668,0.11167,152170,0.380425
-25,10.4,400000,44865,0.112162,152141,0.380352
-25,10.6,400000,44688,0.11172,152001,0.380003
-25,10.8,400000,45382,0.113455,152351,0.380877
-25,11,400000,44747,0.111867,151562,0.378905
-25,11.2,400000,45386,0.113465,152140,0.38035
-25,11.4,400000,44521,0.111302,151493,0.378733
-25,11.6,400000,45029,0.112573,152280,0.3807
-25,11.8,400000,44908,0.11227,151784,0.37946
-25,12,400000,44672,0.11168,152737,0.381842
-25,12.2,400000,44501,0.111253,152233,0.380582
-25,12.4,400000,44707,0.111768,151850,0.379625
-25,12.6,400000,44806,0.112015,152488,0.38122
-25,12.8,400000,44810,0.112025,152139,0.380348
-25,13,400000,44850,0.112125,152238,0.380595
-25,13.2,400000,44780,0.11195,151942,0.379855
-25,13.4,400000,44852,0.11213,152243,0.380607
-25,13.6,400000,44671,0.111677,152268,0.38067
-25,13.8,400000,44709,0.111772,151460,0.37865
-25,14,400000,44755,0.111888,151496,0.37874
-25,14.2,400000,44985,0.112463,151559,0.378897
-25,14.4,400000,44662,0.111655,152087,0.380217
-25,14.6,400000,44523,0.111308,152174,0.380435
-25,14.8,400000,44965,0.112412,152843,0.382107
-25,15,400000,44753,0.111882,152039,0.380097
-25,15.2,400000,45120,0.1128,152153,0.380383
-25,15.4,400000,44368,0.11092,152111,0.380277
-25,15.6,400000,44609,0.111522,151531,0.378827
-25,15.8,400000,45028,0.11257,152411,0.381028
-25,16,400000,45374,0.113435,152345,0.380862
-25,16.2,400000,44537,0.111342,151885,0.379713
-25,16.4,400000,44574,0.111435,151726,0.379315
-25,16.6,400000,45449,0.113623,152742,0.381855
-25,16.8,400000,44506,0.111265,151835,0.379588
-25,17,400000,44452,0.11113,152014,0.380035
-25,17.2,400000,45010,0.112525,152117,0.380292
-25,17.4,400000,45076,0.11269,152189,0.380472
-25,17.6,400000,44743,0.111857,152242,0.380605
-25,17.8,400000,44801,0.112003,152279,0.380698
-25,18,400000,44623,0.111558,151904,0.37976
-25,18.2,400000,44514,0.111285,152033,0.380082
-25,18.4,400000,44918,0.112295,152139,0.380348
-25,18.6,400000,45182,0.112955,152156,0.38039
-25,18.8,400000,45178,0.112945,151991,0.379978
-25,19,400000,45136,0.11284,152044,0.38011
-25,19.2,400000,44667,0.111668,152307,0.380767
-25,19.4,400000,44452,0.11113,151877,0.379692
-25,19.6,400000,44986,0.112465,152015,0.380037
-25,19.8,400000,44662,0.111655,151942,0.379855
-25,20,400000,45218,0.113045,152576,0.38144
-25,20.2,400000,44792,0.11198,151303,0.378258
-25,20.4,400000,44699,0.111747,151856,0.37964
-25,20.6,400000,45073,0.112683,152119,0.380298
-25,20.8,400000,45201,0.113003,151645,0.379113
-25,21,400000,44739,0.111848,152599,0.381497
-25,21.2,400000,44202,0.110505,151867,0.379667
-25,21.4,400000,44957,0.112393,152027,0.380068
-25,21.6,400000,45135,0.112837,152277,0.380692
-25,21.8,400000,44962,0.112405,152040,0.3801
-25,22,400000,44569,0.111422,152435,0.381088
-25,22.2,400000,45088,0.11272,152738,0.381845
-25,22.4,400000,44316,0.11079,151970,0.379925
-25,22.6,400000,44661,0.111653,152744,0.38186
-25,22.8,400000,45199,0.112998,152411,0.381028
-25,23,400000,44631,0.111577,151753,0.379383
-25,23.2,400000,44970,0.112425,152189,0.380472
-25,23.4,400000,44896,0.11224,152210,0.380525
-25,23.6,400000,45503,0.113757,152471,0.381178
-25,23.8,400000,44668,0.11167,151549,0.378873
-25,24,400000,44366,0.110915,151795,0.379487
-25,24.2,400000,44855,0.112138,152158,0.380395
-25,24.4,400000,44728,0.11182,152507,0.381267
-25,24.6,400000,45173,0.112933,152100,0.38025
-25,24.8,400000,44570,0.111425,151726,0.379315
-25,25,400000,44504,0.11126,152121,0.380302
-25,25.2,400000,44835,0.112088,151997,0.379993
-25,25.4,400000,44959,0.112397,152328,0.38082
-25,25.6,400000,44848,0.11212,152425,0.381063
-25,25.8,400000,44773,0.111933,152384,0.38096
-25,26,400000,45431,0.113577,151831,0.379578
-25,26.2,400000,45021,0.112552,152254,0.380635
-25,26.4,400000,44675,0.111687,152063,0.380157
-25,26.6,400000,44506,0.111265,151376,0.37844
-25,26.8,400000,45048,0.11262,151964,0.37991
-25,27,400000,44845,0.112113,152075,0.380188
-25,27.2,400000,45040,0.1126,151708,0.37927
-25,27.4,400000,44448,0.11112,151876,0.37969
-25,27.6,400000,44663,0.111658,152252,0.38063
-25,27.8,400000,44624,0.11156,152933,0.382333
-25,28,400000,44469,0.111172,151713,0.379283
-25,28.2,400000,45099,0.112748,151940,0.37985
-25,28.4,400000,44730,0.111825,152324,0.38081
-25,28.6,400000,44907,0.112268,152697,0.381742
-25,28.8,400000,44502,0.111255,152461,0.381153
-25,29,400000,45055,0.112638,152379,0.380947
-25,29.2,400000,44729,0.111823,151837,0.379592
-25,29.4,400000,45001,0.112503,151721,0.379302
-25,29.6,400000,44941,0.112352,151981,0.379953
-25,29.8,400000,44684,0.11171,151967,0.379918
-25,30,400000,45218,0.113045,152717,0.381792
-25,30.2,400000,45063,0.112657,152560,0.3814
-25,30.4,400000,44425,0.111062,151586,0.378965
-25,30.6,400000,45185,0.112962,151948,0.37987
-25,30.8,400000,44832,0.11208,152017,0.380043
-25,31,400000,44481,0.111202,152111,0.380277
-25,31.2,400000,44869,0.112172,151903,0.379758
-25,31.4,400000,44915,0.112287,152386,0.380965
-25,31.6,400000,45457,0.113642,152669,0.381673
-25,31.8,400000,44852,0.11213,152366,0.380915
-25,32,400000,44648,0.11162,151955,0.379887
-25,32.2,400000,44539,0.111348,152109,0.380273
-25,32.4,400000,44824,0.11206,152080,0.3802
-25,32.6,400000,44737,0.111842,151838,0.379595
-25,32.8,400000,44743,0.111857,152459,0.381147
-25,33,400000,44935,0.112338,152236,0.38059
-25,33.2,400000,44677,0.111693,152019,0.380047
-25,33.4,400000,45088,0.11272,152069,0.380173
-25,33.6,400000,45091,0.112727,152577,0.381443
-25,33.8,400000,45175,0.112937,152943,0.382358
-25,34,400000,44975,0.112437,151979,0.379947
-25,34.2,400000,45393,0.113483,152079,0.380198
-25,34.4,400000,44747,0.111867,151879,0.379698
-25,34.6,400000,44711,0.111778,152586,0.381465
-25,34.8,400000,44530,0.111325,152361,0.380902
-25,35,400000,44913,0.112282,152368,0.38092
-25,35.2,400000,44836,0.11209,151849,0.379622
-25,35.4,400000,44708,0.11177,151938,0.379845
-25,35.6,400000,45161,0.112903,152308,0.38077
-25,35.8,400000,44910,0.112275,151719,0.379298
-25,36,400000,44690,0.111725,152013,0.380032
-25,36.2,400000,45046,0.112615,152209,0.380522
-25,36.4,400000,44878,0.112195,152482,0.381205
-25,36.6,400000,45058,0.112645,151735,0.379337
-25,36.8,400000,44728,0.11182,152443,0.381107
-25,37,400000,45126,0.112815,151924,0.37981
-25,37.2,400000,44987,0.112467,152776,0.38194
-25,37.4,400000,44602,0.111505,152097,0.380242
-25,37.6,400000,44530,0.111325,152267,0.380667
-25,37.8,400000,44705,0.111763,152009,0.380022
-25,38,400000,45139,0.112848,152346,0.380865
-25,38.2,400000,44562,0.111405,151970,0.379925
-25,38.4,400000,45345,0.113363,152681,0.381703
-25,38.6,400000,45203,0.113007,152313,0.380783
-25,38.8,400000,45212,0.11303,151871,0.379678
-25,39,400000,44910,0.112275,152452,0.38113
-25,39.2,400000,44797,0.111992,152247,0.380617
-25,39.4,400000,45069,0.112672,151549,0.378873
-25,39.6,400000,44643,0.111607,151961,0.379902
-25,39.8,400000,44746,0.111865,152233,0.380582
-25,40,400000,45323,0.113308,152414,0.381035
-25,40.2,400000,45203,0.113007,152245,0.380613
-25,40.4,400000,45195,0.112988,152666,0.381665
-25,40.6,400000,44471,0.111177,152120,0.3803
-25,40.8,400000,45192,0.11298,152370,0.380925
-25,41,400000,44629,0.111573,151921,0.379802
-25,41.2,400000,44587,0.111467,152060,0.38015
-25,41.4,400000,44681,0.111702,152596,0.38149
-25,41.6,400000,44386,0.110965,152000,0.38
-25,41.8,400000,44801,0.112003,152000,0.38
-25,42,400000,44528,0.11132,152145,0.380362
-25,42.2,400000,44585,0.111463,151601,0.379003
-25,42.4,400000,44965,0.112412,152355,0.380887
-25,42.6,400000,45181,0.112952,152268,0.38067
-25,42.8,400000,45279,0.113198,152769,0.381922
-25,43,400000,44879,0.112198,152444,0.38111
-25,43.2,400000,44560,0.1114,151991,0.379978
-25,43.4,400000,44595,0.111488,151939,0.379848
-25,43.6,400000,44599,0.111497,152441,0.381103
-25,43.8,400000,44833,0.112083,152130,0.380325
-25,44,400000,44812,0.11203,152325,0.380812
-25,44.2,400000,44769,0.111922,152180,0.38045
-25,44.4,400000,44955,0.112388,151673,0.379182
-25,44.6,400000,44625,0.111562,152344,0.38086
