x,y,detectorID,nPrimary,roiCounts,normalizedCounts
-9.18367,5.10204,0,400000,31,7.75e-05
-9.18367,5.10204,1,400000,30,7.5e-05
-9.18367,5.10204,2,400000,153,0.0003825
-9.18367,5.10204,3,400000,175,0.0004375
-9.18367,5.10204,4,400000,37,9.25e-05
-9.18367,5.10204,5,400000,32,8e-05
-9.18367,7.14286,0,400000,40,0.0001
-9.18367,7.14286,1,400000,33,8.25e-05
-9.18367,7.14286,2,400000,270,0.000675
-9.18367,7.14286,3,400000,156,0.00039
-9.18367,7.14286,4,400000,48,0.00012
-9.18367,7.14286,5,400000,40,0.0001
-9.18367,9.18367,0,400000,1072,0.00268
-9.18367,9.18367,1,400000,429,0.0010725
-9.18367,9.18367,2,400000,196976,0.49244
-9.18367,9.18367,3,400000,7537,0.0188425
-9.18367,9.18367,4,400000,1977,0.0049425
-9.18367,9.18367,5,400000,1789,0.0044725
-9.18367,11.2245,0,400000,384,0.00096
-9.18367,11.2245,1,400000,321,0.0008025
-9.18367,11.2245,2,400000,213111,0.532778
-9.18367,11.2245,3,400000,2393,0.0059825
-9.18367,11.2245,4,400000,573,0.0014325
-9.18367,11.2245,5,400000,651,0.0016275
-9.18367,13.2653,0,400000,190,0.000475
-9.18367,13.2653,1,400000,300,0.00075
-9.18367,13.2653,2,400000,216091,0.540227
-9.18367,13.2653,3,400000,887,0.0022175
-9.18367,13.2653,4,400000,216,0.00054
-9.18367,13.2653,5,400000,274,0.000685
-9.18367,15.3061,0,400000,58,0.000145
-9.18367,15.3061,1,400000,236,0.00059
-9.18367,15.3061,2,400000,218212,0.54553
-9.18367,15.3061,3,400000,327,0.0008175
-9.18367,15.3061,4,400000,90,0.000225
-9.18367,15.3061,5,400000,94,0.000235
-9.18367,17.3469,0,400000,36,9e-05
-9.18367,17.3469,1,400000,216,0.00054
-9.18367,17.3469,2,400000,218329,0.545822
-9.18367,17.3469,3,400000,128,0.00032
-9.18367,17.3469,4,400000,40,0.0001
-9.18367,17.3469,5,400000,51,0.0001275
-9.18367,19.3878,0,400000,16,4e-05
-9.18367,19.3878,1,400000,222,0.000555
-9.18367,19.3878,2,400000,218253,0.545632
-9.18367,19.3878,3,400000,57,0.0001425
-9.18367,19.3878,4,400000,16,4e-05
-9.18367,19.3878,5,400000,22,5.5e-05
-9.18367,21.4286,0,400000,6,1.5e-05
-9.18367,21.4286,1,400000,295,0.0007375
-9.18367,21.4286,2,400000,217179,0.542948
-9.18367,21.4286,3,400000,36,9e-05
-9.18367,21.4286,4,400000,7,1.75e-05
-9.18367,21.4286,5,400000,4,1e-05
-9.18367,23.4694,0,400000,0,0
-9.18367,23.4694,1,400000,337,0.0008425
-9.18367,23.4694,2,400000,212777,0.531942
-9.18367,23.4694,3,400000,13,3.25e-05
-9.18367,23.4694,4,400000,11,2.75e-05
-9.18367,23.4694,5,400000,15,3.75e-05
-9.18367,25.5102,0,400000,5,1.25e-05
-9.18367,25.5102,1,400000,371,0.0009275
