x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux,mean_roiCounts,mean_normalizedCounts,mean_flux,mean_normalizedFlux,roiCounts_rel_diff,normalizedCounts_rel_diff,flux_rel_diff,normalizedFlux_rel_diff
-50.0,-50.0,0,100000,45,0.00045,91,0.00091,32.333333333333336,0.00032333333333333335,73.5,0.000735,0.3917525773195875,0.3917525773195875,0.23809523809523808,0.23809523809523814
-50.0,-50.0,1,100000,37,0.00037,72,0.00072,32.333333333333336,0.00032333333333333335,73.5,0.000735,0.1443298969072164,0.14432989690721643,-0.02040816326530612,-0.02040816326530603
-50.0,-50.0,2,100000,17,0.00017,69,0.00069,32.333333333333336,0.00032333333333333335,73.5,0.000735,-0.4742268041237114,-0.4742268041237113,-0.061224489795918366,-0.06122448979591838
-50.0,-50.0,3,100000,44,0.00044,75,0.00075,32.333333333333336,0.00032333333333333335,73.5,0.000735,0.3608247422680411,0.36082474226804123,0.02040816326530612,0.020408163265306176
-50.0,-50.0,4,100000,19,0.00019,65,0.00065,32.333333333333336,0.00032333333333333335,73.5,0.000735,-0.4123711340206186,-0.41237113402061853,-0.11564625850340136,-0.11564625850340138
-50.0,-50.0,5,100000,32,0.00032,69,0.00069,32.333333333333336,0.00032333333333333335,73.5,0.000735,-0.010309278350515537,-0.010309278350515434,-0.061224489795918366,-0.06122448979591838
-50.0,-47.9592,0,100000,18,0.00018,72,0.00072,25.833333333333332,0.00025833333333333334,66.83333333333333,0.0006683333333333333,-0.30322580645161284,-0.3032258064516129,0.07730673316708236,0.07730673316708245
-50.0,-47.9592,1,100000,39,0.00039,85,0.00085,25.833333333333332,0.00025833333333333334,66.83333333333333,0.0006683333333333333,0.5096774193548388,0.5096774193548387,0.2718204488778056,0.27182044887780554
-50.0,-47.9592,2,100000,19,0.00019,57,0.00057,25.833333333333332,0.00025833333333333334,66.83333333333333,0.0006683333333333333,-0.264516129032258,-0.2645161290322581,-0.1471321695760598,-0.14713216957605982
-50.0,-47.9592,3,100000,16,0.00016,56,0.00056,25.833333333333332,0.00025833333333333334,66.83333333333333,0.0006683333333333333,-0.38064516129032255,-0.38064516129032255,-0.16209476309226928,-0.16209476309226933
-50.0,-47.9592,4,100000,27,0.00027,62,0.00062,25.833333333333332,0.00025833333333333334,66.83333333333333,0.0006683333333333333,0.04516129032258069,0.04516129032258062,-0.0723192019950124,-0.07231920199501239
-50.0,-47.9592,5,100000,36,0.00036,69,0.00069,25.833333333333332,0.00025833333333333334,66.83333333333333,0.0006683333333333333,0.39354838709677425,0.39354838709677425,0.03241895261845394,0.0324189526184539
-50.0,-45.9184,0,100000,20,0.0002,47,0.00047,32.166666666666664,0.00032166666666666666,63.5,0.000635,-0.3782383419689119,-0.3782383419689119,-0.25984251968503935,-0.25984251968503946
-50.0,-45.9184,1,100000,24,0.00024,57,0.00057,32.166666666666664,0.00032166666666666666,63.5,0.000635,-0.25388601036269426,-0.25388601036269426,-0.10236220472440945,-0.10236220472440954
-50.0,-45.9184,2,100000,34,0.00034,64,0.00064,32.166666666666664,0.00032166666666666666,63.5,0.000635,0.05699481865284982,0.05699481865284983,0.007874015748031496,0.007874015748031517
-50.0,-45.9184,3,100000,22,0.00022,69,0.00069,32.166666666666664,0.00032166666666666666,63.5,0.000635,-0.31606217616580307,-0.31606217616580307,0.08661417322834646,0.08661417322834633
