File,FWHM_roiCounts (cm),Peak_roi,Left_roi,Right_roi,FWHM_Flux (cm),Peak_flux,Left_flux,Right_flux
crack1,1.1000503112153215,0,-0.5485907122624738,0.5514595989528476,1.1557640054364209,0,-0.5732581716047163,0.5825058338317046
crack1_1,1.1511378291506316,0,-0.5585791546598272,0.5925586744908043,1.1933725038762635,0,-0.5931551117629712,0.6002173921132923
crack1_2,1.1802532869610944,0,-0.584927646586455,0.5953256403746393,1.2486604577988603,0,-0.6151442606284592,0.6335161971704012
crack1_3cm,1.2466796685937378,0,-0.6155821275030828,0.631097541090655,1.2970641924382973,0,-0.6394086768505003,0.657655515587797
crack1_4cm,1.379417634061747,0,-0.6780305257056081,0.7013871083561389,1.4408339705372404,0,-0.7106745664624461,0.7301594040747942
crack1_5cm,1.3427339128973026,0,-0.6602763157992807,0.682457597098022,1.384356804628549,0,-0.6848904757562317,0.6994663288723172
crack1_6cm,1.379417634061747,0,-0.6780305257056081,0.7013871083561389,1.4408339705372404,0,-0.7106745664624461,0.7301594040747942
crack1_7cm,1.4803224875522674,0,-0.7142823700303451,0.7660401175219222,1.489954283124336,0,-0.7308453404076036,0.7591089427167323
crack1_8cm,1.5066746094779968,0,-0.7401447975377893,0.7665298119402076,1.5575710010725556,0,-0.768334548296547,0.7892364527760085
crack1_9cm,1.5528437889201467,0,-0.7715475338680428,0.7812962550521039,1.6373232876862729,0,-0.8065477850643499,0.8307755026219231
crack2cm,1.5528437889201467,0,-0.7715475338680428,0.7812962550521039,1.6373232876862729,0,-0.8065477850643499,0.8307755026219231
