x,y,roiCounts_crack,normalizedCounts_crack,flux_crack,normalizedFlux_crack,roiCounts_normal,normalizedCounts_normal,flux_normal,normalizedFlux_normal,roiCounts_abs_diff,roiCounts_rel_diff,roiCounts_sym_rel_diff,normalizedCounts_abs_diff,normalizedCounts_rel_diff,normalizedCounts_sym_rel_diff,flux_abs_diff,flux_rel_diff,flux_sym_rel_diff,normalizedFlux_abs_diff,normalizedFlux_rel_diff,normalizedFlux_sym_rel_diff
-50,-25,206,0.00206,429,0.0042899999999999995,206,0.00206,428,0.00428,0,0.0,0.0,0.0,0.0,0.0,1,0.002336448598130841,0.002333722287047841,9.999999999999593e-06,0.002336448598130746,0.0023337222870477466
-50,-24,188,0.00188,474,0.00474,188,0.00188,473,0.00473,0,0.0,0.0,0.0,0.0,0.0,1,0.0021141649048625794,0.0021119324181626186,1.000000000000046e-05,0.0021141649048626765,0.0021119324181627162
-50,-23,243,0.00243,433,0.0043300000000000005,243,0.00243,434,0.00434,0,0.0,0.0,0.0,0.0,0.0,-1,-0.002304147465437788,-0.002306805074971165,-9.999999999999593e-06,-0.002304147465437694,-0.002306805074971071
-50,-22,182,0.0018199999999999998,426,0.00426,182,0.0018199999999999998,426,0.00426,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50,-21,221,0.00221,442,0.00442,220,0.0022,437,0.00437,1,0.004545454545454545,0.0045351473922902496,1.0000000000000026e-05,0.004545454545454557,0.004535147392290261,5,0.011441647597254004,0.011376564277588168,5.0000000000000565e-05,0.011441647597254134,0.011376564277588298
-50,-20,222,0.0022199999999999998,434,0.00434,222,0.0022199999999999998,436,0.00436,0,0.0,0.0,0.0,0.0,0.0,-2,-0.0045871559633027525,-0.004597701149425287,-2.0000000000000052e-05,-0.004587155963302764,-0.0045977011494252994
-50,-19,126,0.00126,391,0.00391,132,0.00132,392,0.00392,-6,-0.045454545454545456,-0.046511627906976744,-5.999999999999994e-05,-0.04545454545454541,-0.0465116279069767,-1,-0.002551020408163265,-0.002554278416347382,-9.999999999999593e-06,-0.0025510204081631615,-0.002554278416347278
-50,-18,187,0.0018700000000000001,427,0.00427,187,0.0018700000000000001,425,0.00425,0,0.0,0.0,0.0,0.0,0.0,2,0.004705882352941176,0.004694835680751174,2.0000000000000052e-05,0.004705882352941188,0.004694835680751186
-50,-17,206,0.00206,428,0.00428,206,0.00206,427,0.0042699999999999995,0,0.0,0.0,0.0,0.0,0.0,1,0.00234192037470726,0.0023391812865497076,1.000000000000046e-05,0.002341920374707368,0.0023391812865498156
-50,-16,179,0.00179,474,0.00474,181,0.00181,473,0.00473,-2,-0.011049723756906077,-0.011111111111111112,-2.0000000000000052e-05,-0.011049723756906106,-0.011111111111111141,1,0.0021141649048625794,0.0021119324181626186,1.000000000000046e-05,0.0021141649048626765,0.0021119324181627162
