Tag,Actual_cm,FWHM_Raw_cm,FWHM_RL_cm,Err_Raw_cm,Err_RL_cm,RelErr_Raw_pct,RelErr_RL_pct,Deriv_Raw_cm,Deriv_RL_cm,Calibrated_Raw_cm,Calibrated_RL_cm
crack0_1cm,0.1,0.6220691233342954,0.6233623325388263,0.5220691233342954,0.5233623325388264,522.0691233342955,523.3623325388263,0.3000000000000007,1.2000000000000002,-0.0993764149886649,-0.20737013095695556
crack0_2cm,0.2,0.802616822736731,0.7802531907181576,0.602616822736731,0.5802531907181576,301.3084113683655,290.1265953590788,0.4500000000000002,1.2500000000000009,0.34940395839734495,0.372220827007574
crack0_3cm,0.3,0.8038161331335383,0.786684918579621,0.5038161331335382,0.486684918579621,167.93871104451276,162.228306193207,0.6499999999999995,0.5500000000000007,0.35226724634077367,0.39507963154753334
crack0_4cm,0.4,0.8334861458711313,0.8054342318307686,0.4334861458711313,0.40543423183076854,108.37153646778282,101.35855795769213,0.5000000000000009,1.0000000000000009,0.42260783132111146,0.46131081099769133
crack0_5cm,0.5,0.8841858748099594,0.8573838308226955,0.38418587480995936,0.35738383082269554,76.83717496199188,71.4767661645391,1.2000000000000002,0.9500000000000002,0.5406029285236176,0.6416687056753112
crack0_6cm,0.6,0.9227667332475064,0.8916855741865235,0.3227667332475064,0.2916855741865235,53.79445554125106,48.61426236442059,0.25,0.8999999999999995,0.628531979147912,0.7582180139523564
crack0_7cm,0.7,0.9709986806027496,0.8877769785869927,0.2709986806027497,0.18777697858699272,38.71409722896424,26.825282655284678,0.4500000000000002,1.0,0.7361939527968688,0.7450394673604332
crack0_8cm,0.8,1.0030830701720248,0.9146322589334996,0.20308307017202476,0.1146322589334996,25.385383771503093,14.32903236668745,0.5000000000000009,1.0,0.8064192578639682,0.8350581194650273
crack0_9cm,0.9,1.0174789289807946,0.9062453358577289,0.1174789289807946,0.006245335857728906,13.053214331199401,0.6939262064143229,0.7000000000000002,0.7500000000000009,0.8375668691228351,0.8070781575066257
crack1,1.0,1.1000503112153215,0.9559602889052181,0.10005031121532149,-0.044039711094781886,10.005031121532149,-4.403971109478189,0.25,0.4500000000000002,1.0118956907111183,0.9711710258761821
crack1_3cm,1.3,1.2466796685937378,1.0546988753718192,-0.053320331406262245,-0.24530112462818088,-4.101563954327865,-18.869317279090836,0.4500000000000002,0.5000000000000009,1.3033054499417884,1.2844955603230206
crack1_4cm,1.4,1.379417634061747,1.1312249552158034,-0.02058236593825291,-0.26877504478419656,-1.4701689955894939,-19.19821748458547,1.3999999999999995,0.4500000000000002,1.547068203567574,1.5158234634653613
crack1_5cm,1.5,1.3427339128973026,1.1230253089196718,-0.1572660871026974,-0.3769746910803282,-10.484405806846492,-25.13164607202188,0.8000000000000007,1.0000000000000009,1.4816056178637111,1.491517852302195
crack1_6cm,1.6,1.379417634061747,1.1312249552158034,-0.2205823659382531,-0.46877504478419674,-13.786397871140817,-29.298440299012295,1.3999999999999995,0.4500000000000002,1.547068203567574,1.5158234634653613
crack1_7cm,1.7,1.4803224875522674,1.1968742816990667,-0.2196775124477326,-0.5031257183009332,-12.922206614572506,-29.59563048829019,0.7000000000000002,0.9500000000000002,1.7196317128022744,1.7062623496701796
crack1_8cm,1.8,1.5066746094779968,1.1877865089005515,-0.29332539052200324,-0.6122134910994486,-16.29585502900018,-34.01186061663603,1.2000000000000002,0.3000000000000007,1.7628858547376989,1.6803412026841595
crack1_9cm,1.9,1.5528437889201467,1.2283207818371276,-0.34715621107985317,-0.6716792181628723,-18.27137953051859,-35.35153779804591,0.3000000000000007,0.7000000000000002,1.836858154260007,1.794863625314079
crack2cm,2.0,1.5528437889201467,1.2283207818371276,-0.44715621107985326,-0.7716792181628724,-22.357810553992664,-38.583960908143624,0.3000000000000007,0.7000000000000002,1.836858154260007,1.794863625314079
crack2_1cm,2.1,1.718374114645641,1.3175505329024517,-0.38162588535435904,-0.7824494670975484,-18.17266120735043,-37.259498433216585,0.9500000000000002,0.9500000000000002,2.083133989259135,2.037029730098701
crack2_2cm,2.2,1.8261631070047306,1.401622015594642,-0.37383689299526957,-0.7983779844053582,-16.992586045239523,-36.28990838206174,3.0,0.5000000000000009,2.2275817688454564,2.2526929765504233
crack2_3cm,2.3,1.891505527146931,1.4118013522756518,-0.40849447285306884,-0.888198647724348,-17.760629254481255,-38.61733250975426,2.1500000000000004,0.7000000000000002,2.309033567285393,2.2779820301281157
crack2_4cm,2.4,1.9948429353555015,1.501232149300171,-0.4051570646444984,-0.8987678506998289,-16.881544360187434,-37.44866044582621,2.5500000000000007,1.5000000000000009,2.42842791322178,2.492514681995609
crack2_5cm,2.5,2.0922747195557756,1.5378145117938988,-0.4077252804442244,-0.9621854882061012,-16.309011217768976,-38.48741952824405,2.5,0.6499999999999995,2.530428111150731,2.576314810256936
