Tag,Actual_cm,FWHM_Raw_cm,FWHM_Dec_cm,Err_Raw_cm,Err_Dec_cm,RelErr_Raw_pct,RelErr_Dec_pct,Deriv_Raw_cm,Deriv_Dec_cm,Calibrated_Raw_cm,Calibrated_Dec_cm
crack0_1cm,0.1,0.6220691233342954,0.6180462208688071,0.5220691233342954,0.5180462208688071,522.0691233342955,518.046220868807,0.3000000000000007,0.5000000000000009,-0.0993764149886649,-0.05198582006480379
crack0_2cm,0.2,0.802616822736731,0.7451785758415654,0.602616822736731,0.5451785758415655,301.3084113683655,272.58928792078274,0.4500000000000002,0.3000000000000007,0.34940395839734495,0.35542890725607856
crack0_3cm,0.3,0.8038161331335383,0.7441258364741608,0.5038161331335382,0.44412583647416076,167.93871104451276,148.0419454913869,0.6499999999999995,0.3000000000000007,0.35226724634077367,0.3521976978008725
crack0_4cm,0.4,0.8334861458711313,0.7647680189880014,0.4334861458711313,0.3647680189880014,108.37153646778282,91.19200474700034,0.5000000000000009,0.3000000000000007,0.42260783132111146,0.41512147386402143
crack0_5cm,0.5,0.8841858748099594,0.8011467123284172,0.38418587480995936,0.30114671232841717,76.83717496199188,60.22934246568343,1.2000000000000002,1.2500000000000009,0.5406029285236176,0.5237887166936668
crack0_6cm,0.6,0.9227667332475064,0.830139532286132,0.3227667332475064,0.23013953228613204,53.79445554125106,38.35658871435535,0.25,0.4499999999999993,0.628531979147912,0.6083593820375435
crack0_7cm,0.7,0.9709986806027496,0.8693171765971237,0.2709986806027497,0.16931717659712375,38.71409722896424,24.188168085303392,0.4500000000000002,1.1499999999999995,0.7361939527968688,0.7197722882242896
crack0_8cm,0.8,1.0030830701720248,0.89193979844826,0.20308307017202476,0.09193979844825995,25.385383771503093,11.492474806032494,0.5000000000000009,0.9500000000000002,0.8064192578639682,0.7826057237803052
crack0_9cm,0.9,1.0174789289807946,0.9065430208225308,0.1174789289807946,0.006543020822530776,13.053214331199401,0.7270023136145306,0.7000000000000002,1.0,0.8375668691228351,0.8225821554239858
crack1,1.0,1.1000503112153215,0.9697148429861417,0.10005031121532149,-0.030285157013858255,10.005031121532149,-3.0285157013858255,0.25,1.0000000000000009,1.0118956907111183,0.9902423913463765
crack1_3cm,1.3,1.2466796685937378,1.0937323938991228,-0.053320331406262245,-0.20626760610087724,-4.101563954327865,-15.86673893083671,0.4500000000000002,1.4500000000000002,1.3033054499417884,1.294473975024161
crack1_4cm,1.4,1.379417634061747,1.2119026418670915,-0.02058236593825291,-0.1880973581329084,-1.4701689955894939,-13.435525580922029,1.3999999999999995,1.0000000000000009,1.547068203567574,1.5536454527562253
crack1_5cm,1.5,1.3427339128973026,1.177546711463295,-0.1572660871026974,-0.3224532885367051,-10.484405806846492,-21.496885902447005,0.8000000000000007,1.0000000000000009,1.4816056178637111,1.4813863404310639
crack1_6cm,1.6,1.379417634061747,1.2119026418670915,-0.2205823659382531,-0.3880973581329086,-13.786397871140817,-24.256084883306787,1.3999999999999995,1.0000000000000009,1.547068203567574,1.5536454527562253
crack1_7cm,1.7,1.4803224875522674,1.3067366094551969,-0.2196775124477326,-0.3932633905448031,-12.922206614572506,-23.133140620282536,0.7000000000000002,0.9500000000000002,1.7196317128022744,1.739955924673
crack1_8cm,1.8,1.5066746094779968,1.3250609550269996,-0.29332539052200324,-0.47493904497300043,-16.29585502900018,-26.385502498500024,1.2000000000000002,0.7000000000000002,1.7628858547376989,1.7737304190155627
crack1_9cm,1.9,1.5528437889201467,1.3726885899446284,-0.34715621107985317,-0.5273114100553715,-18.27137953051859,-27.75323210817745,0.3000000000000007,0.7500000000000009,1.836858154260007,1.8581439946651304
crack2cm,2.0,1.5528437889201467,1.3726885899446284,-0.44715621107985326,-0.6273114100553716,-22.357810553992664,-31.36557050276858,0.3000000000000007,0.7500000000000009,1.836858154260007,1.8581439946651304
crack2_1cm,2.1,1.718374114645641,1.5357793611734747,-0.38162588535435904,-0.5642206388265254,-18.17266120735043,-26.867649467929777,0.9500000000000002,0.3000000000000007,2.083133989259135,2.1103167372041756
crack2_2cm,2.2,1.8261631070047306,1.6405607080476245,-0.37383689299526957,-0.5594392919523756,-16.992586045239523,-25.429058725107982,3.0,2.000000000000001,2.2275817688454564,2.2422066975125197
crack2_3cm,2.3,1.891505527146931,1.7047980594072425,-0.40849447285306884,-0.5952019405927573,-17.760629254481255,-25.878345243163363,2.1500000000000004,3.0000000000000004,2.309033567285393,2.3114106200899323
crack2_4cm,2.4,1.9948429353555015,1.8182507867189335,-0.4051570646444984,-0.5817492132810664,-16.881544360187434,-24.23955055337777,2.5500000000000007,3.3499999999999996,2.42842791322178,2.4119988585018715
crack2_5cm,2.5,2.0922747195557756,1.9473014198388923,-0.4077252804442244,-0.5526985801611077,-16.309011217768976,-22.107943206444308,2.5,2.2500000000000004,2.530428111150731,2.492828616342647
