File,FWHM_roiCounts (cm),Peak_roi,Left_roi,Right_roi,FWHM_Flux (cm),Peak_flux,Left_flux,Right_flux,Actual_Width_cm,Error_roi (cm),Rel_Error_roi (%),Error_flux (cm),Rel_Error_flux (%)
crack0_1cm,0.6220691233342954,0,-0.2141942083800033,0.407874914954292,0.7742559276902051,0,-0.3722518668409079,0.4020040608492972,0.1,0.5220691233342954,522.0691233342955,0.6742559276902051,674.2559276902051
crack0_2cm,0.802616822736731,0,-0.3474392795821884,0.4551775431545425,0.7962206186893044,0,-0.3612288087867037,0.4349918099026006,0.2,0.602616822736731,301.3084113683655,0.5962206186893044,298.1103093446522
crack0_3cm,0.8038161331335383,0,-0.3817150961911421,0.4221010369423961,0.8166996797502254,0,-0.3893181232124292,0.4273815565377962,0.3,0.5038161331335382,167.93871104451276,0.5166996797502255,172.23322658340848
crack0_4cm,0.8334861458711313,0,-0.3861239158219547,0.4473622300491766,0.8905635615668108,0,-0.4294894969153469,0.4610740646514639,0.4,0.4334861458711313,108.37153646778282,0.4905635615668108,122.6408903917027
crack0_5cm,0.8841858748099594,0,-0.4234927989496084,0.4606930758603509,0.9258274366323772,0,-0.4477378099280767,0.4780896267043003,0.5,0.38418587480995936,76.83717496199188,0.4258274366323772,85.16548732647544
crack0_6cm,0.9227667332475064,0,-0.4454130282257305,0.4773537050217759,0.9714571131020218,0,-0.4661123880245638,0.505344725077458,0.6,0.3227667332475064,53.79445554125106,0.3714571131020218,61.909518850336966
crack0_7cm,0.9709986806027496,0,-0.4693325136343862,0.5016661669683634,1.0181124369372214,0,-0.5053198935570324,0.5127925433801891,0.7,0.2709986806027497,38.71409722896424,0.31811243693722147,45.4446338481745
crack0_8cm,1.0030830701720248,0,-0.4901742204880707,0.5129088496839542,1.0716351156361272,0,-0.5240912172332027,0.5475438984029245,0.8,0.20308307017202476,25.385383771503093,0.2716351156361272,33.9543894545159
crack0_9cm,1.0174789289807946,0,-0.5059844013416628,0.511494527639132,1.0978137220397317,0,-0.5484180259749889,0.5493956960647426,0.9,0.1174789289807946,13.053214331199401,0.1978137220397317,21.979302448859077
crack1,1.1000503112153217,0,-0.5485907122624738,0.5514595989528476,1.1557640054364209,0,-0.5732581716047163,0.5825058338317046,1.0,0.10005031121532171,10.00503112153217,0.15576400543642088,15.576400543642087
crack1_3cm,1.2466796685937378,0,-0.6155821275030828,0.631097541090655,1.2970641924382973,0,-0.6394086768505003,0.657655515587797,1.3,-0.053320331406262245,-4.101563954327865,-0.0029358075617027524,-0.2258313509002117
crack1_4cm,1.379417634061747,0,-0.6780305257056081,0.7013871083561389,1.4408339705372404,0,-0.7106745664624461,0.7301594040747942,1.4,-0.02058236593825291,-1.4701689955894939,0.04083397053724047,2.9167121812314627
crack1_5cm,1.3427339128973026,0,-0.6602763157992807,0.682457597098022,1.384356804628549,0,-0.6848904757562317,0.6994663288723172,1.5,-0.1572660871026974,-10.484405806846492,-0.11564319537145096,-7.7095463580967305
crack1_6cm,1.379417634061747,0,-0.6780305257056081,0.7013871083561389,1.4408339705372404,0,-0.7106745664624461,0.7301594040747942,1.6,-0.2205823659382531,-13.786397871140817,-0.1591660294627597,-9.947876841422481
crack1_7cm,1.4803224875522674,0,-0.7142823700303451,0.7660401175219222,1.489954283124336,0,-0.7308453404076036,0.7591089427167323,1.7,-0.2196775124477326,-12.922206614572506,-0.21004571687566398,-12.355630404450823
crack1_8cm,1.5066746094779968,0,-0.7401447975377893,0.7665298119402076,1.5575710010725556,0,-0.768334548296547,0.7892364527760085,1.8,-0.29332539052200324,-16.29585502900018,-0.2424289989274444,-13.468277718191354
crack1_9cm,1.5528437889201467,0,-0.7715475338680428,0.7812962550521039,1.6373232876862729,0,-0.8065477850643499,0.8307755026219231,1.9,-0.34715621107985317,-18.27137953051859,-0.262676712313727,-13.825090121775109
crack2cm,1.5528437889201467,0,-0.7715475338680428,0.7812962550521039,1.6373232876862729,0,-0.8065477850643499,0.8307755026219231,2.0,-0.44715621107985326,-22.357810553992664,-0.3626767123137271,-18.133835615686355
crack2_1cm,1.718374114645641,0,-0.8516126757171181,0.866761438928523,1.7980537370387473,0,-0.9021570483367716,0.8958966887019757,2.1,-0.38162588535435904,-18.17266120735043,-0.3019462629612528,-14.378393474345371
crack2_2cm,1.8261631070047304,0,-0.9003294907256534,0.9258336162790772,1.9029170379086573,0,-0.9366580160294952,0.966259021879162,2.2,-0.3738368929952698,-16.992586045239534,-0.2970829620913429,-13.503771004151949
crack2_3cm,1.891505527146931,0,-0.936582608363581,0.95492291878335,2.0003704447271726,0,-0.9982646494547432,1.0021057952724295,2.3,-0.40849447285306884,-17.760629254481255,-0.2996295552728272,-13.027371968383791
crack2_4cm,1.9948429353555013,0,-0.9783228110372572,1.0165201243182442,2.0935926729383363,0,-1.0420164939222012,1.051576179016135,2.4,-0.40515706464449863,-16.881544360187444,-0.3064073270616636,-12.766971960902652
crack2_5cm,2.092274719555776,0,-1.030255263384928,1.0620194561708478,2.190725729987492,0,-1.0943878202257658,1.0963379097617256,2.5,-0.40772528044422396,-16.30901121776896,-0.3092742700125082,-12.370970800500327
